,index,name,categories,type,unit,database,code,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | ecoinvent 3;9 ?",cast iron | market for cast iron | GLO | kilogram | ecoinvent 3;9 ?,"aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | ecoinvent 3;9 ?",copper-rich materials | market for copper-rich materials | GLO | kilogram | ecoinvent 3;9 ?,"polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | ecoinvent 3;9 ?",zinc | market for zinc | GLO | kilogram | ecoinvent 3;9 ?,lithium | market for lithium | GLO | kilogram | ecoinvent 3;9 ?,manganese | market for manganese | GLO | kilogram | ecoinvent 3;9 ?,nickel-rich materials | market for nickel-rich materials | GLO | kilogram | ecoinvent 3;9 ?,"phosphoric acid, industrial grade, without water, in 85% solution state | market for phosphoric acid, industrial grade, without water, in 85% solution state | GLO | kilogram | ecoinvent 3;9 ?"
0,Score,,,,,,,7723.62600859549,22.936590090292878,18277.263508902568,18278.695652239887,1718.9170519861477,531.3516014229983,11408.820984511523,246.16090127588848,7526.464158074822,234.04666723436935
1,Rest (+),,,,,,,1464.1852635193918,6.633593444196862,3760.645639034621,2142.3811818775157,341.50851508254686,31.519052934572983,952.1515726385023,26.814053670594063,1066.9408529778575,66.64300068923876
2,Rest (-),,,,,,,-0.00035802421809460084,-1.0896937737123565e-06,-0.013139538070253916,-8.42623372090413e-05,-3.909015312867801e-05,-2.229596767152656e-06,-6.212616220411815e-05,-2.3929679991069624e-05,-0.00028141021723347416,-2.3367405136811464e-05
3,"Hydrogen sulfide | ('water', 'ground-') | emission | kilogram | biosphere3 | db945649-d0d5-4818-ab81-dc8579469a05",Hydrogen sulfide,"('water', 'ground-')",emission,CTUe,biosphere3,db945649-d0d5-4818-ab81-dc8579469a05,497.6486505969668,,1377.233781669444,12035.744466616623,213.23061370905026,499.83255071802193,977.8658041250786,,6459.523586507182,129.11057646721133
4,"Chloride | ('water', 'ground-') | emission | kilogram | biosphere3 | 85bec19f-c785-4364-8ef6-472b8e9dd90e",Chloride,"('water', 'ground-')",emission,CTUe,biosphere3,85bec19f-c785-4364-8ef6-472b8e9dd90e,1696.75164533972,6.5643072701217395,8067.168604325381,,165.91684054754992,,573.5952229521183,23.488883957055087,,
5,"Ammonium | ('water',) | emission | kilogram | biosphere3 | fb005c47-7b90-41f3-a5ca-f0eb11db354a",Ammonium,"('water',)",emission,CTUe,biosphere3,fb005c47-7b90-41f3-a5ca-f0eb11db354a,,,,,,,3043.554886370989,,,
6,"Chloride | ('water', 'surface water') | emission | kilogram | biosphere3 | 5e050fab-1837-4c42-b597-ed2f376f768f",Chloride,"('water', 'surface water')",emission,CTUe,biosphere3,5e050fab-1837-4c42-b597-ed2f376f768f,1162.476599502552,4.029328712264211,4094.559292046335,,355.2826765504912,,5861.653560550998,19.179378295310705,,38.293113445324366
7,"Cadmium II | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | e2d58f90-9aac-4ac4-87f7-bbd6cfc358e3",Cadmium II,"('air', 'non-urban air or from high stacks')",emission,CTUe,biosphere3,e2d58f90-9aac-4ac4-87f7-bbd6cfc358e3,,,,1927.1378252871596,,,,,,
8,"Chlorine | ('water', 'surface water') | emission | kilogram | biosphere3 | ce312691-69ee-4cdb-9bd6-f717955b94b8",Chlorine,"('water', 'surface water')",emission,CTUe,biosphere3,ce312691-69ee-4cdb-9bd6-f717955b94b8,2058.25840640689,,,1094.9441235906356,,,,,,
9,"Aluminium III | ('air',) | emission | kilogram | biosphere3 | ff65658c-2d39-44a2-b23e-7ec3c644f064",Aluminium III,"('air',)",emission,CTUe,biosphere3,ff65658c-2d39-44a2-b23e-7ec3c644f064,,,,1078.488139130294,,,,,,
10,"Strontium | ('water', 'surface water') | emission | kilogram | biosphere3 | 4295ed5b-9824-4bbf-97a4-fc4cabd87f0d",Strontium,"('water', 'surface water')",emission,CTUe,biosphere3,4295ed5b-9824-4bbf-97a4-fc4cabd87f0d,,,977.6693313648574,,,,,,,
11,"Hydrogen sulfide | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 0b0ea9d1-9c54-4e23-bcfc-1b8fc2cf0358",Hydrogen sulfide,"('air', 'non-urban air or from high stacks')",emission,CTUe,biosphere3,0b0ea9d1-9c54-4e23-bcfc-1b8fc2cf0358,,,,,642.9784451866625,,,,,
12,"Chromium VI | ('water', 'surface water') | emission | kilogram | biosphere3 | 8216fc31-15a1-4d33-858f-e09650b14c63",Chromium VI,"('water', 'surface water')",emission,CTUe,biosphere3,8216fc31-15a1-4d33-858f-e09650b14c63,844.3058012541896,5.70936175340384,,,,,,176.6786092826086,,
