,index,name,categories,type,unit,database,code,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | ecoinvent 3;9 ?",cast iron | market for cast iron | GLO | kilogram | ecoinvent 3;9 ?,"aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | ecoinvent 3;9 ?",copper-rich materials | market for copper-rich materials | GLO | kilogram | ecoinvent 3;9 ?,"polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | ecoinvent 3;9 ?",zinc | market for zinc | GLO | kilogram | ecoinvent 3;9 ?,lithium | market for lithium | GLO | kilogram | ecoinvent 3;9 ?,manganese | market for manganese | GLO | kilogram | ecoinvent 3;9 ?,nickel-rich materials | market for nickel-rich materials | GLO | kilogram | ecoinvent 3;9 ?,"phosphoric acid, industrial grade, without water, in 85% solution state | market for phosphoric acid, industrial grade, without water, in 85% solution state | GLO | kilogram | ecoinvent 3;9 ?"
0,Score,,,,,,,3.3721155488102636e-05,9.086891959701643e-07,0.00013447670295822108,0.00030066045021688825,4.273652594209591e-06,5.522611826089506e-07,1.4304545465845256e-05,3.268658882846263e-07,2.3728627775360814e-06,2.0052520491105074e-06
1,Rest (+),,,,,,,8.401727777922606e-06,4.83476530287179e-08,1.9539047471484335e-05,1.4914174920427521e-05,7.616360248976091e-07,7.089577853269083e-08,1.97402642283627e-06,7.1677027335755e-08,4.87511319363615e-07,1.9007281505667736e-07
2,Rest (-),,,,,,,-5.647489318255366e-13,-1.7188879639312264e-15,-2.0726349992923275e-11,-1.329157482964331e-13,-6.166106437264682e-14,-3.5169737542181392e-15,-9.799812013984647e-14,-3.774676074071488e-14,-4.4389745788852883e-13,-2.7599224683562204e-13
3,"Lead II | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 2718482b-8399-442e-b89a-52fbcc22d2e6",Lead II,"('air', 'non-urban air or from high stacks')",emission,CTUh,biosphere3,2718482b-8399-442e-b89a-52fbcc22d2e6,4.241347588413923e-06,,8.655609021995625e-06,0.00010276704116206932,7.523938304381314e-07,8.606411108465822e-08,3.1765926740619542e-06,,2.922584479723672e-07,4.1200534237128915e-07
4,"Arsenic ion | ('water', 'surface water') | emission | kilogram | biosphere3 | 8c8ffaa5-84ed-4668-ba7d-80fd0f47013f",Arsenic ion,"('water', 'surface water')",emission,CTUh,biosphere3,8c8ffaa5-84ed-4668-ba7d-80fd0f47013f,3.97949692010398e-06,,7.935160236637673e-05,6.569636060047414e-05,1.4140461337621415e-06,2.2658461466025365e-07,4.4897939535551684e-06,1.4358000445867158e-07,2.862590770220423e-07,1.0034236831494548e-06
5,"Cadmium II | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | e2d58f90-9aac-4ac4-87f7-bbd6cfc358e3",Cadmium II,"('air', 'non-urban air or from high stacks')",emission,CTUh,biosphere3,e2d58f90-9aac-4ac4-87f7-bbd6cfc358e3,,,,5.9995012696049796e-05,3.9039216971964154e-07,,1.5498433395138406e-06,,1.5390909183279829e-07,2.0395511724738834e-07
6,"Arsenic ion | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 7348af7c-e102-4a03-a0df-efce16469eed",Arsenic ion,"('air', 'non-urban air or from high stacks')",emission,CTUh,biosphere3,7348af7c-e102-4a03-a0df-efce16469eed,,,,5.72878609707832e-05,3.931598156975297e-07,,1.5373257592599477e-06,,1.5471591622459138e-07,1.957953672779442e-07
7,"Mercury II | ('air',) | emission | kilogram | biosphere3 | 71234253-b3a7-4dfe-b166-a484ad15bee7",Mercury II,"('air',)",emission,CTUh,biosphere3,71234253-b3a7-4dfe-b166-a484ad15bee7,1.709858376641106e-05,8.603415446603343e-07,1.1466665497421774e-05,,,,,1.6452215480191253e-08,6.34712921440516e-07,
8,"Mercury II | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 5ec9c16a-959d-44cd-be7d-a935727d2151",Mercury II,"('air', 'non-urban air or from high stacks')",emission,CTUh,biosphere3,5ec9c16a-959d-44cd-be7d-a935727d2151,,,1.5463799327292582e-05,,5.620246813556023e-07,,1.5769634146161952e-06,4.143999372710665e-08,,
9,"Lead II | ('air',) | emission | kilogram | biosphere3 | 8e123669-94d3-41d8-9480-a79211fe7c43",Lead II,"('air',)",emission,CTUh,biosphere3,8e123669-94d3-41d8-9480-a79211fe7c43,,,,,,1.2660778984736402e-07,,,3.6349644757760883e-07,
10,"Cadmium II | ('air',) | emission | kilogram | biosphere3 | 1c5a7322-9261-4d59-a692-adde6c12de92",Cadmium II,"('air',)",emission,CTUh,biosphere3,1c5a7322-9261-4d59-a692-adde6c12de92,,,,,,4.2108892000957745e-08,,,,
11,"Mercury II | ('air', 'urban air close to ground') | emission | kilogram | biosphere3 | a850e6de-a007-432f-be7f-ce6e2cf1f2ae",Mercury II,"('air', 'urban air close to ground')",emission,CTUh,biosphere3,a850e6de-a007-432f-be7f-ce6e2cf1f2ae,,,,,,,,3.1048712607061006e-08,,
12,"Arsenic ion | ('water', 'ground-') | emission | kilogram | biosphere3 | 1f607ae2-b42d-4411-90b8-e9bbac66a554",Arsenic ion,"('water', 'ground-')",emission,CTUh,biosphere3,1f607ae2-b42d-4411-90b8-e9bbac66a554,,,,,,,,2.266797242260152e-08,,
