,index,name,categories,type,unit,database,code,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | ecoinvent 3;9 ?",cast iron | market for cast iron | GLO | kilogram | ecoinvent 3;9 ?,"aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | ecoinvent 3;9 ?",copper-rich materials | market for copper-rich materials | GLO | kilogram | ecoinvent 3;9 ?,"polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | ecoinvent 3;9 ?",zinc | market for zinc | GLO | kilogram | ecoinvent 3;9 ?,lithium | market for lithium | GLO | kilogram | ecoinvent 3;9 ?,manganese | market for manganese | GLO | kilogram | ecoinvent 3;9 ?,nickel-rich materials | market for nickel-rich materials | GLO | kilogram | ecoinvent 3;9 ?,"phosphoric acid, industrial grade, without water, in 85% solution state | market for phosphoric acid, industrial grade, without water, in 85% solution state | GLO | kilogram | ecoinvent 3;9 ?"
0,Score,,,,,,,1.2322074244352201e-05,7.46151152274415e-08,8.905404067629522e-06,7.363974256709337e-06,2.3602710551540902e-07,1.9358651728984142e-08,4.912694601200118e-07,1.4349514359403285e-06,6.788200675487324e-07,8.834662137101321e-08
1,Rest (+),,,,,,,6.454104788526631e-07,1.8929308099647605e-09,1.2054445343863143e-06,1.2585584903800926e-06,5.890312646760688e-08,2.493851950801211e-09,1.3585646814447984e-07,9.389525198195205e-09,8.818390232510512e-08,2.0061584663995107e-08
3,"Chromium VI | ('water', 'surface water') | emission | kilogram | biosphere3 | 8216fc31-15a1-4d33-858f-e09650b14c63",Chromium VI,"('water', 'surface water')",emission,CTUh,biosphere3,8216fc31-15a1-4d33-858f-e09650b14c63,6.812427357073764e-06,4.606697258569376e-08,3.872208618580977e-06,,8.193724973887648e-08,1.380590720876279e-08,1.0072812732987041e-07,1.4255619107421333e-06,,5.47388157821405e-08
4,"Chromium III | ('air',) | emission | kilogram | biosphere3 | e142b577-e934-4085-9a07-3983d4d92afb",Chromium III,"('air',)",emission,CTUh,biosphere3,e142b577-e934-4085-9a07-3983d4d92afb,,,,3.5230575806500186e-06,,,,,5.422073984479772e-07,
5,"Benzo(a)pyrene | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 81c4ba39-8a3f-4a43-97b4-401605bbebf5",Benzo(a)pyrene,"('air', 'non-urban air or from high stacks')",emission,CTUh,biosphere3,81c4ba39-8a3f-4a43-97b4-401605bbebf5,4.864236408425773e-06,1.938556557201974e-08,,,3.699542097846182e-08,,5.3997222280416896e-08,,,
6,"Benzo(a)pyrene | ('air',) | emission | kilogram | biosphere3 | 5e13c2ab-5466-4ff5-816d-702dfdf25f76",Benzo(a)pyrene,"('air',)",emission,CTUh,biosphere3,5e13c2ab-5466-4ff5-816d-702dfdf25f76,,,1.8679751783857482e-06,,,,,,,
7,"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin | ('air',) | emission | kilogram | biosphere3 | 082903e4-45d8-4078-94cb-736b15279277","Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin","('air',)",emission,CTUh,biosphere3,082903e4-45d8-4078-94cb-736b15279277,,,8.885290092467443e-07,,,,,,,
8,"Arsenic ion | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 7348af7c-e102-4a03-a0df-efce16469eed",Arsenic ion,"('air', 'non-urban air or from high stacks')",emission,CTUh,biosphere3,7348af7c-e102-4a03-a0df-efce16469eed,,,,8.104886620556714e-07,,,,,,
9,"Nickel II | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | e8fc62ba-678e-4706-97d2-b79d83e227d5",Nickel II,"('air', 'non-urban air or from high stacks')",emission,CTUh,biosphere3,e8fc62ba-678e-4706-97d2-b79d83e227d5,,,,8.849685767959952e-07,,,2.737846242183446e-08,,,
10,"Arsenic ion | ('water', 'surface water') | emission | kilogram | biosphere3 | 8c8ffaa5-84ed-4668-ba7d-80fd0f47013f",Arsenic ion,"('water', 'surface water')",emission,CTUh,biosphere3,8c8ffaa5-84ed-4668-ba7d-80fd0f47013f,,,1.0712467270297395e-06,8.869009468275586e-07,1.9089624500180317e-08,3.0588925694201406e-09,6.061222375292411e-08,,,1.3546220924877606e-08
11,"Formaldehyde | ('air',) | emission | kilogram | biosphere3 | a861cfae-a310-4e9d-b9eb-5d555c9a684c",Formaldehyde,"('air',)",emission,CTUh,biosphere3,a861cfae-a310-4e9d-b9eb-5d555c9a684c,,,,,,,5.567463036787564e-08,,,
12,"Chromium III | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 4d40d8e3-9bc7-4ab1-ac5c-4f4a76fda8e5",Chromium III,"('air', 'non-urban air or from high stacks')",emission,CTUh,biosphere3,4d40d8e3-9bc7-4ab1-ac5c-4f4a76fda8e5,,,,,3.9101683830283536e-08,,5.702232582261054e-08,,,
13,"Nickel II | ('water', 'ground-') | emission | kilogram | biosphere3 | 56815b4f-6138-4e0b-9fac-c94fd6b102b3",Nickel II,"('water', 'ground-')",emission,CTUh,biosphere3,56815b4f-6138-4e0b-9fac-c94fd6b102b3,,,,,,,,,4.842876677565006e-08,
14,"Mercury II | ('air',) | emission | kilogram | biosphere3 | 71234253-b3a7-4dfe-b166-a484ad15bee7",Mercury II,"('air',)",emission,CTUh,biosphere3,71234253-b3a7-4dfe-b166-a484ad15bee7,,7.269646259763213e-09,,,,,,,,
