,index,name,categories,type,unit,database,code,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | ecoinvent 3;9 ?",cast iron | market for cast iron | GLO | kilogram | ecoinvent 3;9 ?,"aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | ecoinvent 3;9 ?",copper-rich materials | market for copper-rich materials | GLO | kilogram | ecoinvent 3;9 ?,"polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | ecoinvent 3;9 ?",zinc | market for zinc | GLO | kilogram | ecoinvent 3;9 ?,lithium | market for lithium | GLO | kilogram | ecoinvent 3;9 ?,manganese | market for manganese | GLO | kilogram | ecoinvent 3;9 ?,nickel-rich materials | market for nickel-rich materials | GLO | kilogram | ecoinvent 3;9 ?,"phosphoric acid, industrial grade, without water, in 85% solution state | market for phosphoric acid, industrial grade, without water, in 85% solution state | GLO | kilogram | ecoinvent 3;9 ?"
0,Score,,,,,,,5229.890348904191,14.915896927588532,11536.961908483174,6932.939114269894,1011.1472628964957,23.824620726170107,2699.4381562943877,135.80148629099085,2630.0810839975093,840.4453625398697
1,Rest (+),,,,,,,1371.9599686664742,2.1444466445249084,2989.7896191560194,1326.2614318744654,232.57144664960674,6.831777154488329,673.7385115250636,33.341430910185295,366.87381988399284,216.90610338355725
2,Rest (-),,,,,,,-798.6687604232907,-1.1591904099587502,-1334.822658399864,-262.25133528074093,-81.31486246578615,-2.0687637961471896,-413.17836479274285,-18.299576880187335,-113.11558178589803,-82.88113381756315
3,"Occupation, dump site | ('natural resource', 'land') | natural resource | square meter-year | biosphere3 | 1eaa9ea4-40b8-414a-b198-5626400372e1","Occupation, dump site","('natural resource', 'land')",natural resource,dimensionless,biosphere3,1eaa9ea4-40b8-414a-b198-5626400372e1,1014.7786599923353,2.9679681929549653,3719.753304926416,5108.487876664977,154.25200021297596,14.642329914122687,713.9653334142345,55.959839679430154,202.70992156378722,44.86907081943466
4,"Transformation, from mineral extraction site | ('natural resource', 'land') | natural resource | square meter | biosphere3 | 64d99cb5-3b4f-4195-b86f-c5f45b4dcd19","Transformation, from mineral extraction site","('natural resource', 'land')",natural resource,dimensionless,biosphere3,64d99cb5-3b4f-4195-b86f-c5f45b4dcd19,,,-1732.6986413738252,,,,,,,-65.08715937570958
5,"Occupation, forest, intensive | ('natural resource', 'land') | natural resource | square meter-year | biosphere3 | aca1714f-0040-4a65-a73a-0e38aa9f50f4","Occupation, forest, intensive","('natural resource', 'land')",natural resource,dimensionless,biosphere3,aca1714f-0040-4a65-a73a-0e38aa9f50f4,1367.2501233723328,3.1212135567124064,2986.9630212376455,455.7192067877019,271.3572496129113,3.9686652540816225,807.5308193528627,20.075827123427455,,
6,"Transformation, from unspecified | ('natural resource', 'land') | natural resource | square meter | biosphere3 | 29630a65-f38c-48a5-9744-c0121f586640","Transformation, from unspecified","('natural resource', 'land')",natural resource,dimensionless,biosphere3,29630a65-f38c-48a5-9744-c0121f586640,-647.7564792404796,-2.0846609544957593,-3138.8875782587147,-1352.411737449823,-101.07442190627266,-5.720485947124092,-368.84430672100723,-19.234705822261905,-658.0593853055955,
7,"Transformation, to mineral extraction site | ('natural resource', 'land') | natural resource | square meter | biosphere3 | 626915e9-2424-4059-8b6a-fae47161acdf","Transformation, to mineral extraction site","('natural resource', 'land')",natural resource,dimensionless,biosphere3,626915e9-2424-4059-8b6a-fae47161acdf,301.8990037596366,0.9522855015801126,2450.7191245719278,,71.08733807677896,,237.55676858020757,,220.38941850337952,69.64042860236309
8,"Transformation, to industrial area | ('natural resource', 'land') | natural resource | square meter | biosphere3 | 4624deff-2016-41d4-b2bf-3db8dab88779","Transformation, to industrial area","('natural resource', 'land')",natural resource,dimensionless,biosphere3,4624deff-2016-41d4-b2bf-3db8dab88779,546.0432158306835,1.6906267880397055,1684.2937018833625,,89.97211577148128,,156.517047205707,7.608744464585443,1089.4027137909045,
9,"Transformation, to dump site | ('natural resource', 'land') | natural resource | square meter | biosphere3 | 90a5a447-af6f-421a-8201-011f07ad1150","Transformation, to dump site","('natural resource', 'land')",natural resource,dimensionless,biosphere3,90a5a447-af6f-421a-8201-011f07ad1150,308.0343029807203,0.9696036332930699,1205.5547802486126,1657.1336716733103,,4.750742312836336,222.13115023738862,16.972858053472848,,
10,"Occupation, industrial area | ('natural resource', 'land') | natural resource | square meter-year | biosphere3 | fe9c3a98-a6d2-452d-a9a4-a13e64f1b95b","Occupation, industrial area","('natural resource', 'land')",natural resource,dimensionless,biosphere3,fe9c3a98-a6d2-452d-a9a4-a13e64f1b95b,589.2542473541988,1.7877027012778492,1625.4332288747462,,104.18398335690972,,167.87910962515,8.222318530176446,1048.1769945939081,
11,"Occupation, construction site | ('natural resource', 'land') | natural resource | square meter-year | biosphere3 | 4b6b9b76-3199-4bd0-b11d-f8f2efbeac4e","Occupation, construction site","('natural resource', 'land')",natural resource,dimensionless,biosphere3,4b6b9b76-3199-4bd0-b11d-f8f2efbeac4e,,,,,,,,,,656.9980529277879
