,index,name,categories,type,unit,database,code,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | ecoinvent 3;9 ?",cast iron | market for cast iron | GLO | kilogram | ecoinvent 3;9 ?,"aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | ecoinvent 3;9 ?",copper-rich materials | market for copper-rich materials | GLO | kilogram | ecoinvent 3;9 ?,"polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | ecoinvent 3;9 ?",zinc | market for zinc | GLO | kilogram | ecoinvent 3;9 ?,lithium | market for lithium | GLO | kilogram | ecoinvent 3;9 ?,manganese | market for manganese | GLO | kilogram | ecoinvent 3;9 ?,nickel-rich materials | market for nickel-rich materials | GLO | kilogram | ecoinvent 3;9 ?,"phosphoric acid, industrial grade, without water, in 85% solution state | market for phosphoric acid, industrial grade, without water, in 85% solution state | GLO | kilogram | ecoinvent 3;9 ?"
0,Score,,,,,,,0.01091644615973522,7.038594148229947e-06,0.019799124677994433,0.31553231778705054,0.002943005823341841,0.0019069162532296487,0.01255882074500502,7.653570796969671e-05,0.03361582405967333,0.0014200788538320335
1,Rest (+),,,,,,,0.0020641984443734995,1.1880697846584726e-06,0.004663121975825305,0.06675696121187041,0.0004255131951997307,0.0001666742153199588,0.0014164910829969797,1.349669105176172e-05,0.003677143799209484,0.00019409845645398526
3,"Tellurium | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | 7b6da1f2-e191-5a77-ae06-af96201f5803",Tellurium,"('natural resource', 'in ground')",natural resource,kg Sb-Eq,biosphere3,7b6da1f2-e191-5a77-ae06-af96201f5803,0.005828757748762383,3.125501724282414e-06,0.012232875698004771,0.20287575580826941,0.001295548246757873,,0.005179671807675452,1.9405431685354517e-05,,0.0006926146725368657
4,"Copper | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | a9ac40a0-9bea-4c48-afa7-66aa6eb90624",Copper,"('natural resource', 'in ground')",natural resource,kg Sb-Eq,biosphere3,a9ac40a0-9bea-4c48-afa7-66aa6eb90624,0.001489546007029148,7.51110691107102e-07,0.0029031270041643457,0.04589960076691078,0.00031048393636690856,,0.0011718891886986214,4.808099376647176e-06,0.01501851365650352,0.00015353184286866906
5,"Gold | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | d080e6a4-42c6-484e-b5d7-d74693aec7d9",Gold,"('natural resource', 'in ground')",natural resource,kg Sb-Eq,biosphere3,d080e6a4-42c6-484e-b5d7-d74693aec7d9,,5.346491892130286e-07,,,0.0007290388654711846,,0.0011755909532383897,,0.007461648190097597,9.718627243353877e-05
6,"Sulfur | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | 852281f6-db73-4250-84d3-86b569fce0c1",Sulfur,"('natural resource', 'in ground')",natural resource,kg Sb-Eq,biosphere3,852281f6-db73-4250-84d3-86b569fce0c1,,,,,,,,,0.002169367997331688,
7,"Nickel | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | 974213ef-1ba0-40e5-bc7b-52ef099e9e09",Nickel,"('natural resource', 'in ground')",natural resource,kg Sb-Eq,biosphere3,974213ef-1ba0-40e5-bc7b-52ef099e9e09,0.0007026161200297149,,,,,,,,0.0022556340250425113,
8,"Sodium chloride | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | 0b9159dd-305d-4add-802f-f7b780ed0289",Sodium chloride,"('natural resource', 'in ground')",natural resource,kg Sb-Eq,biosphere3,0b9159dd-305d-4add-802f-f7b780ed0289,,,,,,,0.0016500980931951949,,,
9,"Silver | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | 361a64cb-ab76-4a72-9ea1-c07d6a20c124",Silver,"('natural resource', 'in ground')",natural resource,kg Sb-Eq,biosphere3,361a64cb-ab76-4a72-9ea1-c07d6a20c124,,4.3324040436141045e-07,,,0.0001824215795461451,0.00041627005256445203,0.0010045684176884474,,0.0030335163914885304,0.00014372398683977402
10,"Molybdenum | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | e5a3dff5-72dc-5287-893c-597dd4a19566",Molybdenum,"('natural resource', 'in ground')",natural resource,kg Sb-Eq,biosphere3,e5a3dff5-72dc-5287-893c-597dd4a19566,0.0008313278395404747,,,,,,,,,
11,"Lead | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | fbcb9c7a-eea7-4694-ba6c-568e01d28883",Lead,"('natural resource', 'in ground')",natural resource,kg Sb-Eq,biosphere3,fbcb9c7a-eea7-4694-ba6c-568e01d28883,,4.187866213495199e-07,,,,0.0009498264769557539,0.0009605112015119355,5.667280880168154e-06,,0.00013892362269920088
12,"Zinc | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | be73218b-18af-492e-96e6-addd309d1e32",Zinc,"('natural resource', 'in ground')",natural resource,kg Sb-Eq,biosphere3,be73218b-18af-492e-96e6-addd309d1e32,,,,,,0.0003741455083894842,,,,
13,"Manganese | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | c2586875-bb56-4b1e-84c5-5ff255a1108b",Manganese,"('natural resource', 'in ground')",natural resource,kg Sb-Eq,biosphere3,c2586875-bb56-4b1e-84c5-5ff255a1108b,,,,,,,,2.7830432033898297e-05,,
