,index,name,categories,type,unit,database,code,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | ecoinvent 3;9 ?",cast iron | market for cast iron | GLO | kilogram | ecoinvent 3;9 ?,"aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | ecoinvent 3;9 ?",copper-rich materials | market for copper-rich materials | GLO | kilogram | ecoinvent 3;9 ?,"polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | ecoinvent 3;9 ?",zinc | market for zinc | GLO | kilogram | ecoinvent 3;9 ?,lithium | market for lithium | GLO | kilogram | ecoinvent 3;9 ?,manganese | market for manganese | GLO | kilogram | ecoinvent 3;9 ?,nickel-rich materials | market for nickel-rich materials | GLO | kilogram | ecoinvent 3;9 ?,"phosphoric acid, industrial grade, without water, in 85% solution state | market for phosphoric acid, industrial grade, without water, in 85% solution state | GLO | kilogram | ecoinvent 3;9 ?"
0,Score,,,,,,,7.1668661983059545,0.026653081948337952,23.381744229387245,3.6122228582755733,2.743570115398124,0.022581089364497025,2.755486928938913,0.1372967637189833,0.9666661138578297,0.11548311458062474
1,Rest (+),,,,,,,0.8729895685705538,0.0033381803769092847,2.8463272470257515,0.25410741942674075,0.33861310614859397,0.0028265248748932763,0.3697291478555149,0.012927474795186925,0.0746094924999805,0.014627240261429586
2,Rest (-),,,,,,,-1.369876867374712e-05,-5.222958795145176e-08,-1.2635141130844685e-05,-2.6171885838360896e-06,-4.981010404750764e-06,-3.119845707943635e-08,-3.9751385305534285e-06,-2.3370638255827036e-07,-3.0848148417487623e-06,-4.758571449903517e-07
3,"Nitrogen oxides | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 77357947-ccc5-438e-9996-95e65e1e1bce",Nitrogen oxides,"('air', 'non-urban air or from high stacks')",emission,kg NMVOC-Eq,biosphere3,77357947-ccc5-438e-9996-95e65e1e1bce,1.4962369718690036,0.005954840228195752,12.764074062751957,0.3792624219050104,0.4333670649776548,0.0050856385963131325,1.38428335685565,0.06584912947757983,0.1317233512711731,0.025019685488925702
4,"Nitrogen oxides | ('air',) | emission | kilogram | biosphere3 | c1b91234-6f24-417b-8309-46111d09c457",Nitrogen oxides,"('air',)",emission,kg NMVOC-Eq,biosphere3,c1b91234-6f24-417b-8309-46111d09c457,1.6064754319727472,0.006126311920797975,2.2873673224577,1.393712696551504,0.21151669047526844,0.012637963550823238,0.3819421242089659,0.022128797189624985,0.576475828002309,0.03241741353155744
5,"Nitrogen oxides | ('air', 'urban air close to ground') | emission | kilogram | biosphere3 | d068f3e2-b033-417b-a359-ca4f25da9731",Nitrogen oxides,"('air', 'urban air close to ground')",emission,kg NMVOC-Eq,biosphere3,d068f3e2-b033-417b-a359-ca4f25da9731,0.37720020293934736,,2.203510088892439,,0.7938601131483056,,0.25370873720067305,0.017925439023468073,,0.006681823328855245
6,"NMVOC, non-methane volatile organic compounds | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 33b38ccb-593b-4b11-b965-10d747ba3556","NMVOC, non-methane volatile organic compounds","('air', 'non-urban air or from high stacks')",emission,kg NMVOC-Eq,biosphere3,33b38ccb-593b-4b11-b965-10d747ba3556,2.2367706542425556,0.008813256467531451,1.8477718724936114,0.21743926002717812,0.1488878238477145,0.0020309935409244606,0.3658275379566392,0.01846615693950604,0.11377384280199779,0.014382517566651421
7,"Carbon monoxide, fossil | ('air',) | emission | kilogram | biosphere3 | ba2f3f82-c93a-47a5-822a-37ec97495275","Carbon monoxide, fossil","('air',)",emission,kg NMVOC-Eq,biosphere3,ba2f3f82-c93a-47a5-822a-37ec97495275,0.5772070674804207,0.002420545184491441,1.4327062709069136,,,,,,,
8,"Sulfur dioxide | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 78c3efe4-421c-4d30-82e4-b97ac5124993",Sulfur dioxide,"('air', 'non-urban air or from high stacks')",emission,kg NMVOC-Eq,biosphere3,78c3efe4-421c-4d30-82e4-b97ac5124993,,,,1.1221837463643933,,,,,,0.015487982670957544
9,"NMVOC, non-methane volatile organic compounds | ('air', 'urban air close to ground') | emission | kilogram | biosphere3 | 175baa64-d985-4c5e-84ef-67cc3a1cf952","NMVOC, non-methane volatile organic compounds","('air', 'urban air close to ground')",emission,kg NMVOC-Eq,biosphere3,175baa64-d985-4c5e-84ef-67cc3a1cf952,,,,,0.6792996444201175,,,,,
10,"NMVOC, non-methane volatile organic compounds | ('air',) | emission | kilogram | biosphere3 | d3260d0e-8203-4cbb-a45a-6a13131a5108","NMVOC, non-methane volatile organic compounds","('air',)",emission,kg NMVOC-Eq,biosphere3,d3260d0e-8203-4cbb-a45a-6a13131a5108,,,,0.24551993118933013,,,,,0.07008668409721118,
11,"Ethylene | ('air',) | emission | kilogram | biosphere3 | 90f722bf-cb9b-571a-88fc-34286632bdc4",Ethylene,"('air',)",emission,kg NMVOC-Eq,biosphere3,90f722bf-cb9b-571a-88fc-34286632bdc4,,,,,0.13803065339087403,,,,,
12,"Sulfur dioxide | ('air', 'urban air close to ground') | emission | kilogram | biosphere3 | 8c52f40c-69b7-4538-8923-b371523c71f5",Sulfur dioxide,"('air', 'urban air close to ground')",emission,kg NMVOC-Eq,biosphere3,8c52f40c-69b7-4538-8923-b371523c71f5,,,,,,,,,,0.0068669275893927986
