,index,name,categories,type,unit,database,code,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | ecoinvent 3;9 ?",cast iron | market for cast iron | GLO | kilogram | ecoinvent 3;9 ?,"aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | ecoinvent 3;9 ?",copper-rich materials | market for copper-rich materials | GLO | kilogram | ecoinvent 3;9 ?,"polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | ecoinvent 3;9 ?",zinc | market for zinc | GLO | kilogram | ecoinvent 3;9 ?,lithium | market for lithium | GLO | kilogram | ecoinvent 3;9 ?,manganese | market for manganese | GLO | kilogram | ecoinvent 3;9 ?,nickel-rich materials | market for nickel-rich materials | GLO | kilogram | ecoinvent 3;9 ?,"phosphoric acid, industrial grade, without water, in 85% solution state | market for phosphoric acid, industrial grade, without water, in 85% solution state | GLO | kilogram | ecoinvent 3;9 ?"
0,Score,,,,,,,8038.254663347743,26.759355105341704,26630.394420728066,27245.602953338694,2023.5352637305282,619.9102016601643,18359.022273926592,387.5724828599095,11995.302251931753,374.4746675749909
1,Rest (+),,,,,,,1523.830129707435,7.739192351563009,5479.34741955778,3193.3606295910104,402.0290114262889,36.772228423668594,1532.197932981504,42.21787173668008,1700.4369844334597,106.62880110278206
2,Rest (-),,,,,,,-0.000372608647478218,-1.2713094026644175e-06,-0.019144609976575407,-0.00012559857810404268,-4.6017522037557656e-05,-2.6011962283447632e-06,-9.997313458133962e-05,-3.7676517432747924e-05,-0.00044849753371584963,-3.738784821889834e-05
3,"Hydrogen sulfide | ('water', 'ground-') | emission | kilogram | biosphere3 | db945649-d0d5-4818-ab81-dc8579469a05",Hydrogen sulfide,"('water', 'ground-')",emission,CTUe,biosphere3,db945649-d0d5-4818-ab81-dc8579469a05,517.9208032494057,,2006.661380000553,17940.07194080591,251.01831740432513,583.1379758376918,1573.5771560633448,,10294.865715995826,206.5769223475381
4,"Ammonium | ('water',) | emission | kilogram | biosphere3 | fb005c47-7b90-41f3-a5ca-f0eb11db354a",Ammonium,"('water',)",emission,CTUe,biosphere3,fb005c47-7b90-41f3-a5ca-f0eb11db354a,,,,,,,4897.674529792394,,,
5,"Chloride | ('water', 'ground-') | emission | kilogram | biosphere3 | 85bec19f-c785-4364-8ef6-472b8e9dd90e",Chloride,"('water', 'ground-')",emission,CTUe,biosphere3,85bec19f-c785-4364-8ef6-472b8e9dd90e,1765.8703063193936,7.658358481808699,11754.050691836774,,195.3198249483814,,923.0267955551329,36.98249814515056,,
6,"Chloride | ('water', 'surface water') | emission | kilogram | biosphere3 | 5e050fab-1837-4c42-b597-ed2f376f768f",Chloride,"('water', 'surface water')",emission,CTUe,biosphere3,5e050fab-1837-4c42-b597-ed2f376f768f,1209.8310996136947,4.700883497641583,5965.8673123107,,418.2441635341226,,9432.545959507355,30.19731901814878,,61.268981512518984
7,"Cadmium II | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | e2d58f90-9aac-4ac4-87f7-bbd6cfc358e3",Cadmium II,"('air', 'non-urban air or from high stacks')",emission,CTUe,biosphere3,e2d58f90-9aac-4ac4-87f7-bbd6cfc358e3,,,,2872.526192409162,,,,,,
8,"Chlorine | ('water', 'surface water') | emission | kilogram | biosphere3 | ce312691-69ee-4cdb-9bd6-f717955b94b8",Chlorine,"('water', 'surface water')",emission,CTUe,biosphere3,ce312691-69ee-4cdb-9bd6-f717955b94b8,2142.103361201391,,,1632.0865238426454,,,,,,
9,"Aluminium III | ('air',) | emission | kilogram | biosphere3 | ff65658c-2d39-44a2-b23e-7ec3c644f064",Aluminium III,"('air',)",emission,CTUe,biosphere3,ff65658c-2d39-44a2-b23e-7ec3c644f064,,,,1607.5577922885518,,,,,,
10,"Strontium | ('water', 'surface water') | emission | kilogram | biosphere3 | 4295ed5b-9824-4bbf-97a4-fc4cabd87f0d",Strontium,"('water', 'surface water')",emission,CTUe,biosphere3,4295ed5b-9824-4bbf-97a4-fc4cabd87f0d,,,1424.4867616322356,,,,,,,
11,"Hydrogen sulfide | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 0b0ea9d1-9c54-4e23-bcfc-1b8fc2cf0358",Hydrogen sulfide,"('air', 'non-urban air or from high stacks')",emission,CTUe,biosphere3,0b0ea9d1-9c54-4e23-bcfc-1b8fc2cf0358,,,,,756.923992434932,,,,,
12,"Chromium VI | ('water', 'surface water') | emission | kilogram | biosphere3 | 8216fc31-15a1-4d33-858f-e09650b14c63",Chromium VI,"('water', 'surface water')",emission,CTUe,biosphere3,8216fc31-15a1-4d33-858f-e09650b14c63,878.69933586507,6.660922045637813,,,,,,278.17483163644755,,
