,index,name,categories,type,unit,database,code,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | ecoinvent 3;9 ?",cast iron | market for cast iron | GLO | kilogram | ecoinvent 3;9 ?,"aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | ecoinvent 3;9 ?",copper-rich materials | market for copper-rich materials | GLO | kilogram | ecoinvent 3;9 ?,"polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | ecoinvent 3;9 ?",zinc | market for zinc | GLO | kilogram | ecoinvent 3;9 ?,lithium | market for lithium | GLO | kilogram | ecoinvent 3;9 ?,manganese | market for manganese | GLO | kilogram | ecoinvent 3;9 ?,nickel-rich materials | market for nickel-rich materials | GLO | kilogram | ecoinvent 3;9 ?,"phosphoric acid, industrial grade, without water, in 85% solution state | market for phosphoric acid, industrial grade, without water, in 85% solution state | GLO | kilogram | ecoinvent 3;9 ?"
0,Score,,,,,,,539.1260910666391,1.6982018886966146,3017.7347386318957,334.6212133201301,170.41028821071544,1.2461257907445833,494.4528795723668,150.16747525926132,133.8249972633156,17.128132437003455
1,Rest (+),,,,,,,159.7729382880396,0.539493207050405,650.8962122805019,105.47181457438617,63.802938614846596,0.31530442573268913,145.88301608661288,10.640604807756546,25.293575552276565,3.4905136827053287
3,"Oils, unspecified | ('water',) | emission | kilogram | biosphere3 | 6da0e891-3648-43a5-b0cf-f1872c57db8d","Oils, unspecified","('water',)",emission,CTUe,biosphere3,6da0e891-3648-43a5-b0cf-f1872c57db8d,,,1510.989084305858,,,,,,,
4,"Pyrene | ('water', 'surface water') | emission | kilogram | biosphere3 | b397980f-62a4-4b0f-a05c-7c5c0e634aec",Pyrene,"('water', 'surface water')",emission,CTUe,biosphere3,b397980f-62a4-4b0f-a05c-7c5c0e634aec,36.76507848033277,0.20148450581883376,687.5210729837306,162.46417752602832,21.099591839400567,0.4687461549680267,83.4260827764195,,29.368721844059674,1.270430428840767
5,"Nitrobenzene | ('water', 'surface water') | emission | kilogram | biosphere3 | ac84dcb0-8ff0-4aa5-a9c4-f6c5129f6f86",Nitrobenzene,"('water', 'surface water')",emission,CTUe,biosphere3,ac84dcb0-8ff0-4aa5-a9c4-f6c5129f6f86,,,,,,,216.2227847367025,,,
6,"PAH, polycyclic aromatic hydrocarbons | ('water', 'surface water') | emission | kilogram | biosphere3 | 16167d62-361c-4ed9-bfeb-3ad4545e794c","PAH, polycyclic aromatic hydrocarbons","('water', 'surface water')",emission,CTUe,biosphere3,16167d62-361c-4ed9-bfeb-3ad4545e794c,174.8872999232973,,,,,,,139.52687045150478,,
7,"Fluoranthene | ('water', 'surface water') | emission | kilogram | biosphere3 | 796d4439-8221-41ad-8732-19033339e66e",Fluoranthene,"('water', 'surface water')",emission,CTUe,biosphere3,796d4439-8221-41ad-8732-19033339e66e,,,168.32836906180503,39.77671537343641,,0.11476488339086738,,,7.190454581824263,
8,"Chlorpyrifos | ('soil', 'agricultural') | emission | kilogram | biosphere3 | 736923cd-6eb7-4896-98f8-46951d56da97",Chlorpyrifos,"('soil', 'agricultural')",emission,CTUe,biosphere3,736923cd-6eb7-4896-98f8-46951d56da97,105.96306365537863,0.465875789287921,,26.90850584627925,41.163913218943144,0.1949109574797758,48.92099597263193,,31.67968099237514,5.0603768409739605
9,"Chlorpyrifos | ('water', 'ground-') | emission | kilogram | biosphere3 | 1cc0be91-3df0-5d9b-ba9e-c0bb9ce30b0d",Chlorpyrifos,"('water', 'ground-')",emission,CTUe,biosphere3,1cc0be91-3df0-5d9b-ba9e-c0bb9ce30b0d,33.93697131703794,0.15094194201992708,,,13.341570018871279,0.06318897053666789,,,10.274264629011023,1.6338478097383802
10,"Chlorpyrifos | ('water',) | emission | kilogram | biosphere3 | d05f3321-5794-5b5e-b05e-831412c615f9",Chlorpyrifos,"('water',)",emission,CTUe,biosphere3,d05f3321-5794-5b5e-b05e-831412c615f9,27.80073940255289,0.1236497372556997,,,10.929246078079807,,,,8.416548159823458,1.338427552502254
11,"Phenol | ('water', 'surface water') | emission | kilogram | biosphere3 | 64836dd0-8b0f-41ba-a7d3-be54358fc4b3",Phenol,"('water', 'surface water')",emission,CTUe,biosphere3,64836dd0-8b0f-41ba-a7d3-be54358fc4b3,,,,,9.728706957863107,,,,,
12,"Hydrocarbons, aromatic | ('water', 'surface water') | emission | kilogram | biosphere3 | c308f812-7e5a-483a-ac1f-1f5742a53784","Hydrocarbons, aromatic","('water', 'surface water')",emission,CTUe,biosphere3,c308f812-7e5a-483a-ac1f-1f5742a53784,,0.09971129503839407,,,,0.08921039863655644,,,13.63517355640901,1.275475044909411
13,"Chlorpyrifos | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 0822b867-9dca-4d5a-93c3-319d39b592cd",Chlorpyrifos,"('air', 'non-urban air or from high stacks')",emission,CTUe,biosphere3,0822b867-9dca-4d5a-93c3-319d39b592cd,,0.11704541222543405,,,10.344321482710892,,,,7.966577947536414,1.266878591641381
14,"Carbofuran | ('soil', 'agricultural') | emission | kilogram | biosphere3 | 3c054a6e-2f9c-4e5e-9231-c61bc85a250a",Carbofuran,"('soil', 'agricultural')",emission,CTUe,biosphere3,3c054a6e-2f9c-4e5e-9231-c61bc85a250a,,,,,,,,,,1.7921824856919724
