,index,name,categories,type,unit,database,code,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | ecoinvent 3;9 ?",cast iron | market for cast iron | GLO | kilogram | ecoinvent 3;9 ?,"aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | ecoinvent 3;9 ?",copper-rich materials | market for copper-rich materials | GLO | kilogram | ecoinvent 3;9 ?,"polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | ecoinvent 3;9 ?",zinc | market for zinc | GLO | kilogram | ecoinvent 3;9 ?,lithium | market for lithium | GLO | kilogram | ecoinvent 3;9 ?,manganese | market for manganese | GLO | kilogram | ecoinvent 3;9 ?,nickel-rich materials | market for nickel-rich materials | GLO | kilogram | ecoinvent 3;9 ?,"phosphoric acid, industrial grade, without water, in 85% solution state | market for phosphoric acid, industrial grade, without water, in 85% solution state | GLO | kilogram | ecoinvent 3;9 ?"
0,Score,,,,,,,3.509481622414889e-05,1.0601373952985254e-06,0.0001959356573500286,0.00044815425598366355,5.031008750145469e-06,6.443047130437753e-07,2.3018808795613052e-05,5.146399092140925e-07,3.781750051698131e-06,3.2084032785768124e-06
1,Rest (+),,,,,,,8.743979500807761e-06,5.64055952001709e-08,2.8468842751953075e-05,2.2230562617241026e-05,8.966094976642729e-07,8.271174162147251e-08,3.1765942436445715e-06,1.1285319197544414e-07,7.769711652357613e-07,3.041165040906841e-07
2,Rest (-),,,,,,,-5.877544730694152e-13,-2.0053692912530994e-15,-3.01987699058316e-11,-1.9811970029090963e-13,-7.258834160324248e-14,-4.103136046587826e-15,-1.576981243629714e-13,-5.943107010240216e-14,-7.074615735098428e-13,-4.415875949369952e-13
3,"Lead II | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 2718482b-8399-442e-b89a-52fbcc22d2e6",Lead II,"('air', 'non-urban air or from high stacks')",emission,CTUh,biosphere3,2718482b-8399-442e-b89a-52fbcc22d2e6,4.41412258873039e-06,,1.2611421950287134e-05,0.00015318106135478254,8.857294459588132e-07,1.0040812959876787e-07,5.111758326076709e-06,,4.657869014559608e-07,6.592085477940627e-07
4,"Arsenic ion | ('water', 'surface water') | emission | kilogram | biosphere3 | 8c8ffaa5-84ed-4668-ba7d-80fd0f47013f",Arsenic ion,"('water', 'surface water')",emission,CTUh,biosphere3,8c8ffaa5-84ed-4668-ba7d-80fd0f47013f,4.141605204628584e-06,,0.00011561711455897659,9.792476391391426e-05,1.6646365878465721e-06,2.643487171036291e-07,7.224955787330156e-06,2.260621346796106e-07,4.562254040038803e-07,1.6054778930391281e-06
5,"Cadmium II | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | e2d58f90-9aac-4ac4-87f7-bbd6cfc358e3",Cadmium II,"('air', 'non-urban air or from high stacks')",emission,CTUh,biosphere3,e2d58f90-9aac-4ac4-87f7-bbd6cfc358e3,,,,8.942652835826288e-05,4.595755922016036e-07,,2.494000776229168e-06,,2.452926151085225e-07,3.263281875958214e-07
6,"Arsenic ion | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 7348af7c-e102-4a03-a0df-efce16469eed",Arsenic ion,"('air', 'non-urban air or from high stacks')",emission,CTUh,biosphere3,7348af7c-e102-4a03-a0df-efce16469eed,,,,8.539133993758249e-05,4.6283370708696564e-07,,2.4738575436366977e-06,,2.465784914829427e-07,3.1327258764471067e-07
7,"Mercury II | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 5ec9c16a-959d-44cd-be7d-a935727d2151",Mercury II,"('air', 'non-urban air or from high stacks')",emission,CTUh,biosphere3,5ec9c16a-959d-44cd-be7d-a935727d2151,,,2.2531112227396953e-05,,6.61623991975582e-07,,2.5376422763938768e-06,6.524594757033814e-08,,
8,"Mercury II | ('air',) | emission | kilogram | biosphere3 | 71234253-b3a7-4dfe-b166-a484ad15bee7",Mercury II,"('air',)",emission,CTUh,biosphere3,71234253-b3a7-4dfe-b166-a484ad15bee7,1.7795109517736627e-05,1.0037318021037238e-06,1.670719606018477e-05,,,,,2.5903488202854313e-08,1.0115737185458225e-06,
9,"Lead II | ('air',) | emission | kilogram | biosphere3 | 8e123669-94d3-41d8-9480-a79211fe7c43",Lead II,"('air',)",emission,CTUh,biosphere3,8e123669-94d3-41d8-9480-a79211fe7c43,,,,,,1.4770908815525785e-07,,,5.793224633268138e-07,
10,"Cadmium II | ('air',) | emission | kilogram | biosphere3 | 1c5a7322-9261-4d59-a692-adde6c12de92",Cadmium II,"('air',)",emission,CTUh,biosphere3,1c5a7322-9261-4d59-a692-adde6c12de92,,,,,,4.9127040667783994e-08,,,,
11,"Mercury II | ('air', 'urban air close to ground') | emission | kilogram | biosphere3 | a850e6de-a007-432f-be7f-ce6e2cf1f2ae",Mercury II,"('air', 'urban air close to ground')",emission,CTUh,biosphere3,a850e6de-a007-432f-be7f-ce6e2cf1f2ae,,,,,,,,4.888520708345774e-08,,
12,"Arsenic ion | ('water', 'ground-') | emission | kilogram | biosphere3 | 1f607ae2-b42d-4411-90b8-e9bbac66a554",Arsenic ion,"('water', 'ground-')",emission,CTUh,biosphere3,1f607ae2-b42d-4411-90b8-e9bbac66a554,,,,,,,,3.568999913345771e-08,,
