,index,name,categories,type,unit,database,code,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | ecoinvent 3;9 ?",cast iron | market for cast iron | GLO | kilogram | ecoinvent 3;9 ?,"aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | ecoinvent 3;9 ?",copper-rich materials | market for copper-rich materials | GLO | kilogram | ecoinvent 3;9 ?,"polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | ecoinvent 3;9 ?",zinc | market for zinc | GLO | kilogram | ecoinvent 3;9 ?,lithium | market for lithium | GLO | kilogram | ecoinvent 3;9 ?,manganese | market for manganese | GLO | kilogram | ecoinvent 3;9 ?,nickel-rich materials | market for nickel-rich materials | GLO | kilogram | ecoinvent 3;9 ?,"phosphoric acid, industrial grade, without water, in 85% solution state | market for phosphoric acid, industrial grade, without water, in 85% solution state | GLO | kilogram | ecoinvent 3;9 ?"
0,Score,,,,,,,1.28240247063429e-05,8.705096776534844e-08,1.2975379092248471e-05,1.0976489929812028e-05,2.778546938345954e-07,2.2585093683814814e-08,7.90548556514962e-07,2.259285239565623e-06,1.081869482655792e-06,1.413545941936211e-07
1,Rest (+),,,,,,,6.717018387007994e-07,2.2084192782922383e-09,1.7563604851121331e-06,1.8759645422646637e-06,6.934165520870175e-08,2.9094939426014196e-09,2.1861960391065716e-07,1.4783507758860464e-08,1.4054309433063625e-07,3.20985354623922e-08
3,"Chromium III | ('air',) | emission | kilogram | biosphere3 | e142b577-e934-4085-9a07-3983d4d92afb",Chromium III,"('air',)",emission,CTUh,biosphere3,e142b577-e934-4085-9a07-3983d4d92afb,,,,5.251349978704745e-06,,,,,8.641430412764637e-07,
4,"Chromium VI | ('water', 'surface water') | emission | kilogram | biosphere3 | 8216fc31-15a1-4d33-858f-e09650b14c63",Chromium VI,"('water', 'surface water')",emission,CTUh,biosphere3,8216fc31-15a1-4d33-858f-e09650b14c63,7.089937538505156e-06,5.374480134997607e-08,5.641897253488006e-06,,9.64577750090571e-08,1.6106891743556572e-08,1.6209123938140076e-07,2.2445017318067623e-06,,8.758210525142477e-08
5,"Benzo(a)pyrene | ('air',) | emission | kilogram | biosphere3 | 5e13c2ab-5466-4ff5-816d-702dfdf25f76",Benzo(a)pyrene,"('air',)",emission,CTUh,biosphere3,5e13c2ab-5466-4ff5-816d-702dfdf25f76,,,2.7216829119037648e-06,,,,,,,
6,"Benzo(a)pyrene | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 81c4ba39-8a3f-4a43-97b4-401605bbebf5",Benzo(a)pyrene,"('air', 'non-urban air or from high stacks')",emission,CTUh,biosphere3,81c4ba39-8a3f-4a43-97b4-401605bbebf5,5.062385329136944e-06,2.261649316735638e-08,,,4.355157153160694e-08,,8.689208183055596e-08,,,
7,"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin | ('air',) | emission | kilogram | biosphere3 | 082903e4-45d8-4078-94cb-736b15279277","Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin","('air',)",emission,CTUh,biosphere3,082903e4-45d8-4078-94cb-736b15279277,,,1.294607256659303e-06,,,,,,,
8,"Arsenic ion | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 7348af7c-e102-4a03-a0df-efce16469eed",Arsenic ion,"('air', 'non-urban air or from high stacks')",emission,CTUh,biosphere3,7348af7c-e102-4a03-a0df-efce16469eed,,,,1.2080868736301513e-06,,,,,,
9,"Nickel II | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | e8fc62ba-678e-4706-97d2-b79d83e227d5",Nickel II,"('air', 'non-urban air or from high stacks')",emission,CTUh,biosphere3,e8fc62ba-678e-4706-97d2-b79d83e227d5,,,,1.3191041050355398e-06,,,4.405729585122786e-08,,,
10,"Arsenic ion | ('water', 'surface water') | emission | kilogram | biosphere3 | 8c8ffaa5-84ed-4668-ba7d-80fd0f47013f",Arsenic ion,"('water', 'surface water')",emission,CTUh,biosphere3,8c8ffaa5-84ed-4668-ba7d-80fd0f47013f,,,1.5608311850852603e-06,1.3219844301769264e-06,2.2472595930592018e-08,3.5687079976568293e-09,9.753691178631466e-08,,,2.1673953479804173e-08
11,"Formaldehyde | ('air',) | emission | kilogram | biosphere3 | a861cfae-a310-4e9d-b9eb-5d555c9a684c",Formaldehyde,"('air',)",emission,CTUh,biosphere3,a861cfae-a310-4e9d-b9eb-5d555c9a684c,,,,,,,8.95913592126735e-08,,,
12,"Nickel II | ('water', 'ground-') | emission | kilogram | biosphere3 | 56815b4f-6138-4e0b-9fac-c94fd6b102b3",Nickel II,"('water', 'ground-')",emission,CTUh,biosphere3,56815b4f-6138-4e0b-9fac-c94fd6b102b3,,,,,,,,,7.718334704869228e-08,
13,"Chromium III | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 4d40d8e3-9bc7-4ab1-ac5c-4f4a76fda8e5",Chromium III,"('air', 'non-urban air or from high stacks')",emission,CTUh,biosphere3,4d40d8e3-9bc7-4ab1-ac5c-4f4a76fda8e5,,,,,4.603109615463755e-08,,9.176006454213202e-08,,,
14,"Mercury II | ('air',) | emission | kilogram | biosphere3 | 71234253-b3a7-4dfe-b166-a484ad15bee7",Mercury II,"('air',)",emission,CTUh,biosphere3,71234253-b3a7-4dfe-b166-a484ad15bee7,,8.481253969723752e-09,,,,,,,,
