,index,name,categories,type,unit,database,code,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | ecoinvent 3;9 ?",cast iron | market for cast iron | GLO | kilogram | ecoinvent 3;9 ?,"aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | ecoinvent 3;9 ?",copper-rich materials | market for copper-rich materials | GLO | kilogram | ecoinvent 3;9 ?,"polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | ecoinvent 3;9 ?",zinc | market for zinc | GLO | kilogram | ecoinvent 3;9 ?,lithium | market for lithium | GLO | kilogram | ecoinvent 3;9 ?,manganese | market for manganese | GLO | kilogram | ecoinvent 3;9 ?,nickel-rich materials | market for nickel-rich materials | GLO | kilogram | ecoinvent 3;9 ?,"phosphoric acid, industrial grade, without water, in 85% solution state | market for phosphoric acid, industrial grade, without water, in 85% solution state | GLO | kilogram | ecoinvent 3;9 ?"
0,Score,,,,,,,5442.934502407518,17.4018797488533,16809.619552192475,10334.003585421164,1190.3379170806847,27.795390847198426,4343.923469899015,213.81510607517706,4191.6917276210315,1344.7125800637918
1,Rest (+),,,,,,,1427.8479568775938,2.5018544186123925,4356.192422040745,1976.8802475110006,273.78663972675304,7.97040668023638,1084.1769150978034,52.49501887986622,584.7051504401143,347.04976541369115
2,Rest (-),,,,,,,-831.2032302959874,-1.352388811618542,-1944.8673953624857,-390.90293372034967,-95.72509125719131,-2.4135577621717204,-664.8847249538389,-28.812099768805602,-180.27795847127481,-132.6098141081011
3,"Occupation, dump site | ('natural resource', 'land') | natural resource | square meter-year | biosphere3 | 1eaa9ea4-40b8-414a-b198-5626400372e1","Occupation, dump site","('natural resource', 'land')",natural resource,dimensionless,biosphere3,1eaa9ea4-40b8-414a-b198-5626400372e1,1056.1165554716556,3.4626295584474622,5419.7663457523295,7614.538533142136,181.5877977190729,17.082718233143115,1148.9097319309526,88.10698162293254,323.0689374922859,71.79051331109544
4,"Transformation, from mineral extraction site | ('natural resource', 'land') | natural resource | square meter | biosphere3 | 64d99cb5-3b4f-4195-b86f-c5f45b4dcd19","Transformation, from mineral extraction site","('natural resource', 'land')",natural resource,dimensionless,biosphere3,64d99cb5-3b4f-4195-b86f-c5f45b4dcd19,,,-2524.581877892681,,,,,,,-104.13945500113532
5,"Transformation, from unspecified | ('natural resource', 'land') | natural resource | square meter | biosphere3 | 29630a65-f38c-48a5-9744-c0121f586640","Transformation, from unspecified","('natural resource', 'land')",natural resource,dimensionless,biosphere3,29630a65-f38c-48a5-9744-c0121f586640,-674.1434054644678,-2.432104446911721,-4573.431586771085,-2015.859004878038,-118.98634477573867,-6.673900271644769,-593.5425625395519,-30.2844304435613,-1048.7821453307927,
6,"Occupation, forest, intensive | ('natural resource', 'land') | natural resource | square meter-year | biosphere3 | aca1714f-0040-4a65-a73a-0e38aa9f50f4","Occupation, forest, intensive","('natural resource', 'land')",natural resource,dimensionless,biosphere3,aca1714f-0040-4a65-a73a-0e38aa9f50f4,1422.946251919695,3.641415816164477,4352.074003690072,679.2795723816689,319.44587612659154,4.630109463095224,1299.47488171725,31.60874908794962,,
7,"Transformation, to mineral extraction site | ('natural resource', 'land') | natural resource | square meter | biosphere3 | 626915e9-2424-4059-8b6a-fae47161acdf","Transformation, to mineral extraction site","('natural resource', 'land')",natural resource,dimensionless,biosphere3,626915e9-2424-4059-8b6a-fae47161acdf,314.1971234922895,1.1109997518434656,3570.754280036668,,83.68509419165116,,382.27525978424205,,351.24563573976104,111.4246857637809
8,"Transformation, to industrial area | ('natural resource', 'land') | natural resource | square meter | biosphere3 | 4624deff-2016-41d4-b2bf-3db8dab88779","Transformation, to industrial area","('natural resource', 'land')",natural resource,dimensionless,biosphere3,4624deff-2016-41d4-b2bf-3db8dab88779,568.2867633875184,1.9723979193796577,2454.054764798611,,105.91654135123744,,251.86651274481588,11.979725327219633,1736.2355751042546,
9,"Transformation, to dump site | ('natural resource', 'land') | natural resource | square meter | biosphere3 | 90a5a447-af6f-421a-8201-011f07ad1150","Transformation, to dump site","('natural resource', 'land')",natural resource,dimensionless,biosphere3,90a5a447-af6f-421a-8201-011f07ad1150,320.58234948847655,1.1312042388419157,1756.5211158758618,2470.067170984745,,5.542532698309052,357.452425669361,26.723223318233845,,
