,index,name,categories,type,unit,database,code,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | ecoinvent 3;9 ?",cast iron | market for cast iron | GLO | kilogram | ecoinvent 3;9 ?,"aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | ecoinvent 3;9 ?",copper-rich materials | market for copper-rich materials | GLO | kilogram | ecoinvent 3;9 ?,"polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | ecoinvent 3;9 ?",zinc | market for zinc | GLO | kilogram | ecoinvent 3;9 ?,lithium | market for lithium | GLO | kilogram | ecoinvent 3;9 ?,manganese | market for manganese | GLO | kilogram | ecoinvent 3;9 ?,nickel-rich materials | market for nickel-rich materials | GLO | kilogram | ecoinvent 3;9 ?,"phosphoric acid, industrial grade, without water, in 85% solution state | market for phosphoric acid, industrial grade, without water, in 85% solution state | GLO | kilogram | ecoinvent 3;9 ?"
0,Score,,,,,,,0.011361137133390663,8.21169317293494e-06,0.028847781239425864,0.47032175670145276,0.0034645511591239416,0.002224735628767922,0.02020959660115751,0.00012050302956930975,0.05357521959510437,0.002272126166131254
1,Rest (+),,,,,,,0.0021482853718052704,1.3860814154348864e-06,0.006794276254085099,0.09950565916486342,0.0005009205968806952,0.00019445325120661825,0.0022794109381560554,2.1250109315539708e-05,0.005860447929990117,0.00031055753032637563
3,"Tellurium | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | 7b6da1f2-e191-5a77-ae06-af96201f5803",Tellurium,"('natural resource', 'in ground')",natural resource,kg Sb-Eq,biosphere3,7b6da1f2-e191-5a77-ae06-af96201f5803,0.006066197289119326,3.6464186783294816e-06,0.017823581991851828,0.30239971148779776,0.001525139075297244,,0.008335104058328316,3.055323286630287e-05,,0.0011081834760589854
4,"Copper | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | a9ac40a0-9bea-4c48-afa7-66aa6eb90624",Copper,"('natural resource', 'in ground')",natural resource,kg Sb-Eq,biosphere3,a9ac40a0-9bea-4c48-afa7-66aa6eb90624,0.0015502239652655527,8.762958062916188e-07,0.004229922993488933,0.06841638604879154,0.0003655064061028167,,0.001885798694457551,7.57019901855088e-06,0.02393575614005249,0.0002456509485898705
5,"Gold | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | d080e6a4-42c6-484e-b5d7-d74693aec7d9",Gold,"('natural resource', 'in ground')",natural resource,kg Sb-Eq,biosphere3,d080e6a4-42c6-484e-b5d7-d74693aec7d9,,6.237573874152004e-07,,,0.0008582356264407623,,0.0018917555569353405,,0.011892001802968044,0.000155498035893662
6,"Sulfur | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | 852281f6-db73-4250-84d3-86b569fce0c1",Sulfur,"('natural resource', 'in ground')",natural resource,kg Sb-Eq,biosphere3,852281f6-db73-4250-84d3-86b569fce0c1,,,,,,,,,0.0034574302457473765,
7,"Sodium chloride | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | 0b9159dd-305d-4add-802f-f7b780ed0289",Sodium chloride,"('natural resource', 'in ground')",natural resource,kg Sb-Eq,biosphere3,0b9159dd-305d-4add-802f-f7b780ed0289,,,,,,,0.0026553302649118082,,,
8,"Nickel | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | 974213ef-1ba0-40e5-bc7b-52ef099e9e09",Nickel,"('natural resource', 'in ground')",natural resource,kg Sb-Eq,biosphere3,974213ef-1ba0-40e5-bc7b-52ef099e9e09,0.0007312378016603602,,,,,,,,0.0035949167274115026,
9,"Silver | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | 361a64cb-ab76-4a72-9ea1-c07d6a20c124",Silver,"('natural resource', 'in ground')",natural resource,kg Sb-Eq,biosphere3,361a64cb-ab76-4a72-9ea1-c07d6a20c124,,5.054471384216458e-07,,,0.00021474945440242405,0.00048564839465852714,0.0016165468790388811,,0.004834666748934845,0.0002299583789436385
10,"Molybdenum | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | e5a3dff5-72dc-5287-893c-597dd4a19566",Molybdenum,"('natural resource', 'in ground')",natural resource,kg Sb-Eq,biosphere3,e5a3dff5-72dc-5287-893c-597dd4a19566,0.0008651927055401525,,,,,,,,,
11,"Lead | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | fbcb9c7a-eea7-4694-ba6c-568e01d28883",Lead,"('natural resource', 'in ground')",natural resource,kg Sb-Eq,biosphere3,fbcb9c7a-eea7-4694-ba6c-568e01d28883,,4.885843915744401e-07,,,,0.001108130889781712,0.0015456502093295515,8.922952875158374e-06,,0.00022227779631872133
12,"Zinc | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | be73218b-18af-492e-96e6-addd309d1e32",Zinc,"('natural resource', 'in ground')",natural resource,kg Sb-Eq,biosphere3,be73218b-18af-492e-96e6-addd309d1e32,,,,,,0.0004365030931210647,,,,
13,"Manganese | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | c2586875-bb56-4b1e-84c5-5ff255a1108b",Manganese,"('natural resource', 'in ground')",natural resource,kg Sb-Eq,biosphere3,c2586875-bb56-4b1e-84c5-5ff255a1108b,,,,,,,,4.3818127032095176e-05,,
14,"Gypsum | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | 11a2a7b1-ab2f-47b8-9e29-6f33d5207fa6",Gypsum,"('natural resource', 'in ground')",natural resource,kg Sb-Eq,biosphere3,11a2a7b1-ab2f-47b8-9e29-6f33d5207fa6,,,,,,,,8.388408461662734e-06,,
