,index,name,categories,type,unit,database,code,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | ecoinvent 3;9 ?",cast iron | market for cast iron | GLO | kilogram | ecoinvent 3;9 ?,"aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | ecoinvent 3;9 ?",copper-rich materials | market for copper-rich materials | GLO | kilogram | ecoinvent 3;9 ?,"polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | ecoinvent 3;9 ?",zinc | market for zinc | GLO | kilogram | ecoinvent 3;9 ?,lithium | market for lithium | GLO | kilogram | ecoinvent 3;9 ?,manganese | market for manganese | GLO | kilogram | ecoinvent 3;9 ?,nickel-rich materials | market for nickel-rich materials | GLO | kilogram | ecoinvent 3;9 ?,"phosphoric acid, industrial grade, without water, in 85% solution state | market for phosphoric acid, industrial grade, without water, in 85% solution state | GLO | kilogram | ecoinvent 3;9 ?"
0,Score,,,,,,,7.458814755661391,0.03109526227306095,34.06774054386612,5.384256713278685,3.229772414329437,0.026344604258579846,4.4341168971430776,0.2161693726639312,1.5406241189609164,0.1847729833289996
1,Rest (+),,,,,,,0.908551561508383,0.0038945437730608344,4.147164437490357,0.37876388933419936,0.3986204920483445,0.0032976123540421516,0.594966444824967,0.020353896486039025,0.11890887867184396,0.0234035844182873
2,Rest (-),,,,,,,-1.4256799986343915e-05,-6.093451927669378e-08,-1.8409692004060916e-05,-3.901092417416056e-06,-5.863721109390141e-06,-3.639819992600905e-08,-6.396774646867584e-06,-3.679632406236601e-07,-4.916423654037086e-06,-7.613714319845632e-07
3,"Nitrogen oxides | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 77357947-ccc5-438e-9996-95e65e1e1bce",Nitrogen oxides,"('air', 'non-urban air or from high stacks')",emission,kg NMVOC-Eq,biosphere3,77357947-ccc5-438e-9996-95e65e1e1bce,1.557187492405061,0.006947313599561713,18.59755025914594,0.5653156854810532,0.5101662916825555,0.0059332450290319845,2.2275824133309317,0.10367735279448738,0.20993409108843222,0.040031496782281135
4,"Nitrogen oxides | ('air',) | emission | kilogram | biosphere3 | c1b91234-6f24-417b-8309-46111d09c457",Nitrogen oxides,"('air',)",emission,kg NMVOC-Eq,biosphere3,c1b91234-6f24-417b-8309-46111d09c457,1.6719166125130303,0.007147363907597642,3.332746937333546,2.0774208118409208,0.24900066093924011,0.014744290809293764,0.6146195102213244,0.034841084936856365,0.91875835087868,0.051867861650491925
5,"Nitrogen oxides | ('air', 'urban air close to ground') | emission | kilogram | biosphere3 | d068f3e2-b033-417b-a359-ca4f25da9731",Nitrogen oxides,"('air', 'urban air close to ground')",emission,kg NMVOC-Eq,biosphere3,d068f3e2-b033-417b-a359-ca4f25da9731,0.3925657828225534,,3.210565014214351,,0.934544183832816,,0.4082669334263703,0.02822303165397101,,0.010690917326168387
6,"Carbon monoxide, fossil | ('air',) | emission | kilogram | biosphere3 | ba2f3f82-c93a-47a5-822a-37ec97495275","Carbon monoxide, fossil","('air',)",emission,kg NMVOC-Eq,biosphere3,ba2f3f82-c93a-47a5-822a-37ec97495275,0.6007201017667455,0.0028239693819066825,2.087486076059341,,,,,,,
7,"Sulfur dioxide | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 78c3efe4-421c-4d30-82e4-b97ac5124993",Sulfur dioxide,"('air', 'non-urban air or from high stacks')",emission,kg NMVOC-Eq,biosphere3,78c3efe4-421c-4d30-82e4-b97ac5124993,,,,1.6726889804299445,,,,,,0.024780772273532075
8,"NMVOC, non-methane volatile organic compounds | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 33b38ccb-593b-4b11-b965-10d747ba3556","NMVOC, non-methane volatile organic compounds","('air', 'non-urban air or from high stacks')",emission,kg NMVOC-Eq,biosphere3,33b38ccb-593b-4b11-b965-10d747ba3556,2.327887461445604,0.010282132545453362,2.6922462293145926,0.32410757626692566,0.17527300782072722,0.0023694924644118687,0.5886879921141319,0.029074374755818012,0.18132706196568402,0.023012028106642275
9,"NMVOC, non-methane volatile organic compounds | ('air', 'urban air close to ground') | emission | kilogram | biosphere3 | 175baa64-d985-4c5e-84ef-67cc3a1cf952","NMVOC, non-methane volatile organic compounds","('air', 'urban air close to ground')",emission,kg NMVOC-Eq,biosphere3,175baa64-d985-4c5e-84ef-67cc3a1cf952,,,,,0.7996818598869738,,,,,
10,"NMVOC, non-methane volatile organic compounds | ('air',) | emission | kilogram | biosphere3 | d3260d0e-8203-4cbb-a45a-6a13131a5108","NMVOC, non-methane volatile organic compounds","('air',)",emission,kg NMVOC-Eq,biosphere3,d3260d0e-8203-4cbb-a45a-6a13131a5108,,,,0.36596367101805805,,,,,0.11170065277993033,
11,"Ethylene | ('air',) | emission | kilogram | biosphere3 | 90f722bf-cb9b-571a-88fc-34286632bdc4",Ethylene,"('air',)",emission,kg NMVOC-Eq,biosphere3,90f722bf-cb9b-571a-88fc-34286632bdc4,,,,,0.16249178183988966,,,,,
12,"Sulfur dioxide | ('air', 'urban air close to ground') | emission | kilogram | biosphere3 | 8c52f40c-69b7-4538-8923-b371523c71f5",Sulfur dioxide,"('air', 'urban air close to ground')",emission,kg NMVOC-Eq,biosphere3,8c52f40c-69b7-4538-8923-b371523c71f5,,,,,,,,,,0.010987084143028476
