,index,name,categories,type,unit,database,code,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | ecoinvent 3;9 ?",cast iron | market for cast iron | GLO | kilogram | ecoinvent 3;9 ?,"aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | ecoinvent 3;9 ?","polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | ecoinvent 3;9 ?",zinc | market for zinc | GLO | kilogram | ecoinvent 3;9 ?
0,Score,,,,,,,7520.639779723077,22.936590090292878,10958.694682486643,1533.970280569917,468.09545839645114
1,Rest (+),,,,,,,1425.7047046883945,6.633593444196862,2254.810592796437,304.7639280167034,27.766784728076402
2,Rest (-),,,,,,,-0.0003486149088148479,-1.0896937737123565e-06,-0.007878213601871312,-3.4884250576858233e-05,-1.9641685805868644e-06
3,"Chloride | ('water', 'ground-') | emission | kilogram | biosphere3 | 85bec19f-c785-4364-8ef6-472b8e9dd90e",Chloride,"('water', 'ground-')",emission,CTUe,biosphere3,85bec19f-c785-4364-8ef6-472b8e9dd90e,1652.1589608367055,6.5643072701217395,4836.918701964478,148.06502858990206,
4,"Chlorine | ('water', 'surface water') | emission | kilogram | biosphere3 | ce312691-69ee-4cdb-9bd6-f717955b94b8",Chlorine,"('water', 'surface water')",emission,CTUe,biosphere3,ce312691-69ee-4cdb-9bd6-f717955b94b8,2004.1648871846344,,,,
5,"Chloride | ('water', 'surface water') | emission | kilogram | biosphere3 | 5e050fab-1837-4c42-b597-ed2f376f768f",Chloride,"('water', 'surface water')",emission,CTUe,biosphere3,5e050fab-1837-4c42-b597-ed2f376f768f,1131.9253091082676,4.029328712264211,2455.018778878932,317.0560594532866,
6,"Strontium | ('water', 'surface water') | emission | kilogram | biosphere3 | 4295ed5b-9824-4bbf-97a4-fc4cabd87f0d",Strontium,"('water', 'surface water')",emission,CTUe,biosphere3,4295ed5b-9824-4bbf-97a4-fc4cabd87f0d,,,586.1916745709622,,
7,"Chromium VI | ('water', 'surface water') | emission | kilogram | biosphere3 | 8216fc31-15a1-4d33-858f-e09650b14c63",Chromium VI,"('water', 'surface water')",emission,CTUe,biosphere3,8216fc31-15a1-4d33-858f-e09650b14c63,822.1164240858798,5.70936175340384,,,
8,"Hydrogen sulfide | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 0b0ea9d1-9c54-4e23-bcfc-1b8fc2cf0358",Hydrogen sulfide,"('air', 'non-urban air or from high stacks')",emission,CTUe,biosphere3,0b0ea9d1-9c54-4e23-bcfc-1b8fc2cf0358,,,,573.7972200716418,
9,"Hydrogen sulfide | ('water', 'ground-') | emission | kilogram | biosphere3 | db945649-d0d5-4818-ab81-dc8579469a05",Hydrogen sulfide,"('water', 'ground-')",emission,CTUe,biosphere3,db945649-d0d5-4818-ab81-dc8579469a05,484.56984243410307,,825.7628124894355,190.2880793226336,440.32867563254337
