,index,name,categories,type,unit,database,code,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | ecoinvent 3;9 ?",cast iron | market for cast iron | GLO | kilogram | ecoinvent 3;9 ?,"aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | ecoinvent 3;9 ?","polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | ecoinvent 3;9 ?",zinc | market for zinc | GLO | kilogram | ecoinvent 3;9 ?
0,Score,,,,,,,3.2834922755169595e-05,9.086891959701643e-07,8.06296374131052e-05,3.8138292138199514e-06,4.86515803726933e-07
1,Rest (+),,,,,,,8.180920214770892e-06,4.83476530287179e-08,1.1715236010156234e-05,6.796878450035625e-07,6.245580489784679e-08
2,Rest (-),,,,,,,-5.499066471520665e-13,-1.7188879639312264e-15,-1.2427119702255866e-11,-5.502664605407091e-14,-3.0982864025255034e-15
3,"Arsenic ion | ('water', 'surface water') | emission | kilogram | biosphere3 | 8c8ffaa5-84ed-4668-ba7d-80fd0f47013f",Arsenic ion,"('water', 'surface water')",emission,CTUh,biosphere3,8c8ffaa5-84ed-4668-ba7d-80fd0f47013f,3.874910930088106e-06,,4.757769030772267e-05,1.2619019294965943e-06,1.9961025577212829e-07
4,"Mercury II | ('air',) | emission | kilogram | biosphere3 | 71234253-b3a7-4dfe-b166-a484ad15bee7",Mercury II,"('air',)",emission,CTUh,biosphere3,71234253-b3a7-4dfe-b166-a484ad15bee7,1.6649212313942973e-05,8.603415446603343e-07,6.875191472248687e-06,,
5,"Mercury II | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 5ec9c16a-959d-44cd-be7d-a935727d2151",Mercury II,"('air', 'non-urban air or from high stacks')",emission,CTUh,biosphere3,5ec9c16a-959d-44cd-be7d-a935727d2151,,,9.271795823072689e-06,5.015536713363286e-07,
6,"Lead II | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 2718482b-8399-442e-b89a-52fbcc22d2e6",Lead II,"('air', 'non-urban air or from high stacks')",emission,CTUh,biosphere3,2718482b-8399-442e-b89a-52fbcc22d2e6,4.1298798462742676e-06,,5.189736227024626e-06,6.714400638720034e-07,7.58183835745799e-08
7,"Arsenic ion | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 7348af7c-e102-4a03-a0df-efce16469eed",Arsenic ion,"('air', 'non-urban air or from high stacks')",emission,CTUh,biosphere3,7348af7c-e102-4a03-a0df-efce16469eed,,,,3.508578102110868e-07,
8,"Cadmium II | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | e2d58f90-9aac-4ac4-87f7-bbd6cfc358e3",Cadmium II,"('air', 'non-urban air or from high stacks')",emission,CTUh,biosphere3,e2d58f90-9aac-4ac4-87f7-bbd6cfc358e3,,,,3.4838794892702206e-07,
9,"Lead II | ('air',) | emission | kilogram | biosphere3 | 8e123669-94d3-41d8-9480-a79211fe7c43",Lead II,"('air',)",emission,CTUh,biosphere3,8e123669-94d3-41d8-9480-a79211fe7c43,,,,,1.1153543391315404e-07
10,"Cadmium II | ('air',) | emission | kilogram | biosphere3 | 1c5a7322-9261-4d59-a692-adde6c12de92",Cadmium II,"('air',)",emission,CTUh,biosphere3,1c5a7322-9261-4d59-a692-adde6c12de92,,,,,3.70959286675104e-08
