,index,name,categories,type,unit,database,code,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | ecoinvent 3;9 ?",cast iron | market for cast iron | GLO | kilogram | ecoinvent 3;9 ?,"aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | ecoinvent 3;9 ?","polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | ecoinvent 3;9 ?",zinc | market for zinc | GLO | kilogram | ecoinvent 3;9 ?
0,Score,,,,,,,5092.442507934308,14.915896927588532,6917.339844499338,902.3529371418097,20.988356354007
1,Rest (+),,,,,,,1335.9032020786572,2.1444466445249084,1792.6201909405045,207.5479365670543,6.018470350382586
2,Rest (-),,,,,,,-777.6787798602611,-1.1591904099587502,-800.3339209693086,-72.56579498529021,-1.8224823918439528
3,"Occupation, dump site | ('natural resource', 'land') | natural resource | square meter-year | biosphere3 | 1eaa9ea4-40b8-414a-b198-5626400372e1","Occupation, dump site","('natural resource', 'land')",natural resource,dimensionless,biosphere3,1eaa9ea4-40b8-414a-b198-5626400372e1,988.1090500056778,2.9679681929549653,2230.292337964264,137.65526601284563,12.899195400536653
4,"Transformation, from mineral extraction site | ('natural resource', 'land') | natural resource | square meter | biosphere3 | 64d99cb5-3b4f-4195-b86f-c5f45b4dcd19","Transformation, from mineral extraction site","('natural resource', 'land')",natural resource,dimensionless,biosphere3,64d99cb5-3b4f-4195-b86f-c5f45b4dcd19,,,-1038.8926864421665,,
5,"Occupation, forest, intensive | ('natural resource', 'land') | natural resource | square meter-year | biosphere3 | aca1714f-0040-4a65-a73a-0e38aa9f50f4","Occupation, forest, intensive","('natural resource', 'land')",natural resource,dimensionless,biosphere3,aca1714f-0040-4a65-a73a-0e38aa9f50f4,1331.3171372127454,3.1212135567124064,1790.9254173458403,242.16058351531962,3.4962051047861924
6,"Transformation, from unspecified | ('natural resource', 'land') | natural resource | square meter | biosphere3 | 29630a65-f38c-48a5-9744-c0121f586640","Transformation, from unspecified","('natural resource', 'land')",natural resource,dimensionless,biosphere3,29630a65-f38c-48a5-9744-c0121f586640,-630.732655870165,-2.0846609544957593,-1882.016451534573,-90.19932587838257,-5.039475715323608
7,"Transformation, to mineral extraction site | ('natural resource', 'land') | natural resource | square meter | biosphere3 | 626915e9-2424-4059-8b6a-fae47161acdf","Transformation, to mineral extraction site","('natural resource', 'land')",natural resource,dimensionless,biosphere3,626915e9-2424-4059-8b6a-fae47161acdf,293.9647329643769,0.9522855015801126,1469.4039195546545,63.43870043560654,
8,"Transformation, to industrial area | ('natural resource', 'land') | natural resource | square meter | biosphere3 | 4624deff-2016-41d4-b2bf-3db8dab88779","Transformation, to industrial area","('natural resource', 'land')",natural resource,dimensionless,biosphere3,4624deff-2016-41d4-b2bf-3db8dab88779,531.6925399875646,1.6906267880397055,1009.8700183200025,80.29157166948647,
9,"Occupation, industrial area | ('natural resource', 'land') | natural resource | square meter-year | biosphere3 | fe9c3a98-a6d2-452d-a9a4-a13e64f1b95b","Occupation, industrial area","('natural resource', 'land')",natural resource,dimensionless,biosphere3,fe9c3a98-a6d2-452d-a9a4-a13e64f1b95b,573.7679333632872,1.7877027012778492,974.578413958442,92.97431426154603,
10,"Occupation, traffic area, road network | ('natural resource', 'land') | natural resource | square meter-year | biosphere3 | 26efe47c-92a5-4dea-b4d0-eac13e418a58","Occupation, traffic area, road network","('natural resource', 'land')",natural resource,dimensionless,biosphere3,26efe47c-92a5-4dea-b4d0-eac13e418a58,872.6380521708213,2.839652892499845,648.0652109149227,191.13282891063,1.251265853684742
11,"Transformation, to dump site | ('natural resource', 'land') | natural resource | square meter | biosphere3 | 90a5a447-af6f-421a-8201-011f07ad1150","Transformation, to dump site","('natural resource', 'land')",natural resource,dimensionless,biosphere3,90a5a447-af6f-421a-8201-011f07ad1150,299.93878910474893,0.9696036332930699,722.8273944467564,,4.18517775178439
12,"Occupation, mineral extraction site | ('natural resource', 'land') | natural resource | square meter-year | biosphere3 | 379ba5c9-5c3a-43d0-8e2d-605ad9c39e46","Occupation, mineral extraction site","('natural resource', 'land')",natural resource,dimensionless,biosphere3,379ba5c9-5c3a-43d0-8e2d-605ad9c39e46,273.52250677685447,0.9235943501026909,,,
13,"Transformation, from annual crop | ('natural resource', 'land') | natural resource | square meter | biosphere3 | f05cca02-ec18-4acc-9939-59658ff9a554","Transformation, from annual crop","('natural resource', 'land')",natural resource,dimensionless,biosphere3,f05cca02-ec18-4acc-9939-59658ff9a554,,-0.9421185349366772,,-70.25379170765488,
14,"Transformation, to annual crop | ('natural resource', 'land') | natural resource | square meter | biosphere3 | c3f83a91-4888-41a4-add9-fd01678a1e5f","Transformation, to annual crop","('natural resource', 'land')",natural resource,dimensionless,biosphere3,c3f83a91-4888-41a4-add9-fd01678a1e5f,,0.8777557944025646,,68.51347313735923,
15,"Occupation, traffic area, rail/road embankment | ('natural resource', 'land') | natural resource | square meter-year | biosphere3 | 956c5f83-65c8-4607-9749-147cfb9c8f70","Occupation, traffic area, rail/road embankment","('natural resource', 'land')",natural resource,dimensionless,biosphere3,956c5f83-65c8-4607-9749-147cfb9c8f70,,0.8270167715916035,,51.65717520328932,
