,index,name,categories,type,unit,database,code,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | ecoinvent 3;9 ?",cast iron | market for cast iron | GLO | kilogram | ecoinvent 3;9 ?,"aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | ecoinvent 3;9 ?","polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | ecoinvent 3;9 ?",zinc | market for zinc | GLO | kilogram | ecoinvent 3;9 ?
0,Score,,,,,,,6.97851229033471,0.026653081948337952,14.01924287128877,2.448375862475542,0.019892864440152147
1,Rest (+),,,,,,,0.8500463473203421,0.0033381803769092847,1.7066029196003445,0.3021800504237451,0.002490033818358363
2,Rest (-),,,,,,,-1.3338748472071785e-05,-5.222958795145176e-08,-7.575786925412103e-06,-4.44507890550543e-06,-2.7484355046170125e-08
3,"Nitrogen oxides | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 77357947-ccc5-438e-9996-95e65e1e1bce",Nitrogen oxides,"('air', 'non-urban air or from high stacks')",emission,kg NMVOC-Eq,biosphere3,77357947-ccc5-438e-9996-95e65e1e1bce,1.456914055394129,0.005954840228195752,7.653092624626951,0.3867389630496792,0.004480205430085381
4,"NMVOC, non-methane volatile organic compounds | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 33b38ccb-593b-4b11-b965-10d747ba3556","NMVOC, non-methane volatile organic compounds","('air', 'non-urban air or from high stacks')",emission,kg NMVOC-Eq,biosphere3,33b38ccb-593b-4b11-b965-10d747ba3556,2.1779856173373635,0.008813256467531451,1.1078883763798169,0.1328682478640997,0.0017892085955763114
5,"Nitrogen oxides | ('air',) | emission | kilogram | biosphere3 | c1b91234-6f24-417b-8309-46111d09c457",Nitrogen oxides,"('air',)",emission,kg NMVOC-Eq,biosphere3,c1b91234-6f24-417b-8309-46111d09c457,1.564255315495146,0.006126311920797975,1.3714613296077596,0.18875856555071424,0.01113344408048714
6,"Nitrogen oxides | ('air', 'urban air close to ground') | emission | kilogram | biosphere3 | d068f3e2-b033-417b-a359-ca4f25da9731",Nitrogen oxides,"('air', 'urban air close to ground')",emission,kg NMVOC-Eq,biosphere3,d068f3e2-b033-417b-a359-ca4f25da9731,0.3672869255953436,,1.3211821497342489,0.708444784518425,
7,"NMVOC, non-methane volatile organic compounds | ('air', 'urban air close to ground') | emission | kilogram | biosphere3 | 175baa64-d985-4c5e-84ef-67cc3a1cf952","NMVOC, non-methane volatile organic compounds","('air', 'urban air close to ground')",emission,kg NMVOC-Eq,biosphere3,175baa64-d985-4c5e-84ef-67cc3a1cf952,,,,0.6062104421723834,
8,"Carbon monoxide, fossil | ('air',) | emission | kilogram | biosphere3 | ba2f3f82-c93a-47a5-822a-37ec97495275","Carbon monoxide, fossil","('air',)",emission,kg NMVOC-Eq,biosphere3,ba2f3f82-c93a-47a5-822a-37ec97495275,0.5620373679408567,0.002420545184491441,0.8590230471265761,,
9,"Ethylene | ('air',) | emission | kilogram | biosphere3 | 90f722bf-cb9b-571a-88fc-34286632bdc4",Ethylene,"('air',)",emission,kg NMVOC-Eq,biosphere3,90f722bf-cb9b-571a-88fc-34286632bdc4,,,,0.12317925397540026,
