,index,name,categories,type,unit,database,code,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | ecoinvent 3;9 ?",cast iron | market for cast iron | GLO | kilogram | ecoinvent 3;9 ?,"aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | ecoinvent 3;9 ?","polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | ecoinvent 3;9 ?",zinc | market for zinc | GLO | kilogram | ecoinvent 3;9 ?
0,Score,,,,,,,8434.077809648954,33.640332132429585,25902.3692495139,2246.5593116148084,683.1663446867124
1,Rest (+),,,,,,,1598.8672194278752,9.729270384822073,5329.552310246127,446.33866053510087,40.524496630165345
2,Rest (-),,,,,,,-0.000390956800573736,-1.5982175347781241e-06,-0.01862123214987765,-5.108934570298742e-05,-2.8666244149105562e-06
3,"Chloride | ('water', 'ground-') | emission | kilogram | biosphere3 | 85bec19f-c785-4364-8ef6-472b8e9dd90e",Chloride,"('water', 'ground-')",emission,CTUe,biosphere3,85bec19f-c785-4364-8ef6-472b8e9dd90e,1852.826041100272,9.627650662845223,11432.716931916044,216.8470099561334,
4,"Chloride | ('water', 'surface water') | emission | kilogram | biosphere3 | 5e050fab-1837-4c42-b597-ed2f376f768f",Chloride,"('water', 'surface water')",emission,CTUe,biosphere3,5e050fab-1837-4c42-b597-ed2f376f768f,1269.4061158825507,5.909682111320847,5802.77165916839,464.34096650428154,
5,"Chlorine | ('water', 'surface water') | emission | kilogram | biosphere3 | ce312691-69ee-4cdb-9bd6-f717955b94b8",Chlorine,"('water', 'surface water')",emission,CTUe,biosphere3,ce312691-69ee-4cdb-9bd6-f717955b94b8,2247.5857236847924,,,,
6,"Strontium | ('water', 'surface water') | emission | kilogram | biosphere3 | 4295ed5b-9824-4bbf-97a4-fc4cabd87f0d",Strontium,"('water', 'surface water')",emission,CTUe,biosphere3,4295ed5b-9824-4bbf-97a4-fc4cabd87f0d,,,1385.5439580768211,,
7,"Hydrogen sulfide | ('water', 'ground-') | emission | kilogram | biosphere3 | db945649-d0d5-4818-ab81-dc8579469a05",Hydrogen sulfide,"('water', 'ground-')",emission,CTUe,biosphere3,db945649-d0d5-4818-ab81-dc8579469a05,543.42447916699,,1951.8030113386662,278.6843147526515,642.6418509231712
8,"Hydrogen sulfide | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 0b0ea9d1-9c54-4e23-bcfc-1b8fc2cf0358",Hydrogen sulfide,"('air', 'non-urban air or from high stacks')",emission,CTUe,biosphere3,0b0ea9d1-9c54-4e23-bcfc-1b8fc2cf0358,,,,840.3484109559867,
9,"Chromium VI | ('water', 'surface water') | emission | kilogram | biosphere3 | 8216fc31-15a1-4d33-858f-e09650b14c63",Chromium VI,"('water', 'surface water')",emission,CTUe,biosphere3,8216fc31-15a1-4d33-858f-e09650b14c63,921.9686213432739,8.37373057165897,,,
