,index,name,categories,type,unit,database,code,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | ecoinvent 3;9 ?",cast iron | market for cast iron | GLO | kilogram | ecoinvent 3;9 ?,"aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | ecoinvent 3;9 ?","polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | ecoinvent 3;9 ?",zinc | market for zinc | GLO | kilogram | ecoinvent 3;9 ?
0,Score,,,,,,,3.682297005336833e-05,1.3327441540895746e-06,0.00019057914297643063,5.585501650027096e-06,7.100500919257937e-07
1,Rest (+),,,,,,,9.174554248953601e-06,7.090989110878658e-08,2.7690557842187456e-05,9.954293616541541e-07,9.115171525631666e-08
2,Rest (-),,,,,,,-6.166969281826817e-13,-2.5210356804324674e-15,-2.937319202351388e-11,-8.058866957564288e-14,-4.521823398280463e-15
3,"Arsenic ion | ('water', 'surface water') | emission | kilogram | biosphere3 | 8c8ffaa5-84ed-4668-ba7d-80fd0f47013f",Arsenic ion,"('water', 'surface water')",emission,CTUh,biosphere3,8c8ffaa5-84ed-4668-ba7d-80fd0f47013f,4.345547885159536e-06,,0.00011245635890916277,1.8481045988726734e-06,2.913230759917546e-07
4,"Mercury II | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 5ec9c16a-959d-44cd-be7d-a935727d2151",Mercury II,"('air', 'non-urban air or from high stacks')",emission,CTUh,biosphere3,5ec9c16a-959d-44cd-be7d-a935727d2151,,,2.1915153763626373e-05,7.345449158223539e-07,
5,"Mercury II | ('air',) | emission | kilogram | biosphere3 | 71234253-b3a7-4dfe-b166-a484ad15bee7",Mercury II,"('air',)",emission,CTUh,biosphere3,71234253-b3a7-4dfe-b166-a484ad15bee7,1.8671383850049403e-05,1.261834265501824e-06,1.6250452570769643e-05,,
6,"Lead II | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 2718482b-8399-442e-b89a-52fbcc22d2e6",Lead II,"('air', 'non-urban air or from high stacks')",emission,CTUh,biosphere3,2718482b-8399-442e-b89a-52fbcc22d2e6,4.631484685902721e-06,,1.2266649263876395e-05,9.833501644650266e-07,1.106538571088463e-07
7,"Arsenic ion | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 7348af7c-e102-4a03-a0df-efce16469eed",Arsenic ion,"('air', 'non-urban air or from high stacks')",emission,CTUh,biosphere3,7348af7c-e102-4a03-a0df-efce16469eed,,,,5.138449489970884e-07,
8,"Cadmium II | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | e2d58f90-9aac-4ac4-87f7-bbd6cfc358e3",Cadmium II,"('air', 'non-urban air or from high stacks')",emission,CTUh,biosphere3,e2d58f90-9aac-4ac4-87f7-bbd6cfc358e3,,,,5.102277408044686e-07,
9,"Lead II | ('air',) | emission | kilogram | biosphere3 | 8e123669-94d3-41d8-9480-a79211fe7c43",Lead II,"('air',)",emission,CTUh,biosphere3,8e123669-94d3-41d8-9480-a79211fe7c43,,,,,1.6278144408946794e-07
10,"Cadmium II | ('air',) | emission | kilogram | biosphere3 | 1c5a7322-9261-4d59-a692-adde6c12de92",Cadmium II,"('air',)",emission,CTUh,biosphere3,1c5a7322-9261-4d59-a692-adde6c12de92,,,,,5.4140004001231376e-08
