,index,name,categories,type,unit,database,code,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | ecoinvent 3;9 ?",cast iron | market for cast iron | GLO | kilogram | ecoinvent 3;9 ?,"aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | ecoinvent 3;9 ?","polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | ecoinvent 3;9 ?",zinc | market for zinc | GLO | kilogram | ecoinvent 3;9 ?
0,Score,,,,,,,5710.957792298795,21.876648827129863,16350.07599608936,1321.5310746083958,30.631655219361544
1,Rest (+),,,,,,,1498.1586517238375,3.145188411969869,4237.102269495739,303.9620489439483,8.783713484342137
2,Rest (-),,,,,,,-872.1336923938952,-1.7001459346061685,-1891.6983586547321,-106.27543733661298,-2.659839166474957
3,"Transformation, from mineral extraction site | ('natural resource', 'land') | natural resource | square meter | biosphere3 | 64d99cb5-3b4f-4195-b86f-c5f45b4dcd19","Transformation, from mineral extraction site","('natural resource', 'land')",natural resource,dimensionless,biosphere3,64d99cb5-3b4f-4195-b86f-c5f45b4dcd19,,,-2455.564531590577,,
4,"Occupation, dump site | ('natural resource', 'land') | natural resource | square meter-year | biosphere3 | 1eaa9ea4-40b8-414a-b198-5626400372e1","Occupation, dump site","('natural resource', 'land')",natural resource,dimensionless,biosphere3,1eaa9ea4-40b8-414a-b198-5626400372e1,1108.122294945638,4.353020016333952,5271.600071551899,201.60150660746552,18.825852746729158
5,"Transformation, from unspecified | ('natural resource', 'land') | natural resource | square meter | biosphere3 | 29630a65-f38c-48a5-9744-c0121f586640","Transformation, from unspecified","('natural resource', 'land')",natural resource,dimensionless,biosphere3,29630a65-f38c-48a5-9744-c0121f586640,-707.3398610365816,-3.0575027332604487,-4448.402521808995,-132.10043116231216,-7.35491050344526
6,"Occupation, forest, intensive | ('natural resource', 'land') | natural resource | square meter-year | biosphere3 | aca1714f-0040-4a65-a73a-0e38aa9f50f4","Occupation, forest, intensive","('natural resource', 'land')",natural resource,dimensionless,biosphere3,aca1714f-0040-4a65-a73a-0e38aa9f50f4,1493.0155749308917,4.577779883178199,4233.09644099926,354.6536205383938,5.102569612390655
7,"Transformation, to mineral extraction site | ('natural resource', 'land') | natural resource | square meter | biosphere3 | 626915e9-2424-4059-8b6a-fae47161acdf","Transformation, to mineral extraction site","('natural resource', 'land')",natural resource,dimensionless,biosphere3,626915e9-2424-4059-8b6a-fae47161acdf,329.668951543046,1.3966854023174997,3473.1365371291877,92.90845134718266,
8,"Transformation, to industrial area | ('natural resource', 'land') | natural resource | square meter | biosphere3 | 4624deff-2016-41d4-b2bf-3db8dab88779","Transformation, to industrial area","('natural resource', 'land')",natural resource,dimensionless,biosphere3,4624deff-2016-41d4-b2bf-3db8dab88779,596.2705812816005,2.47958595579157,2386.9654978472804,117.5901386507019,
9,"Occupation, industrial area | ('natural resource', 'land') | natural resource | square meter-year | biosphere3 | fe9c3a98-a6d2-452d-a9a4-a13e64f1b95b","Occupation, industrial area","('natural resource', 'land')",natural resource,dimensionless,biosphere3,fe9c3a98-a6d2-452d-a9a4-a13e64f1b95b,643.4563463223906,2.621963961874181,2303.5489784472284,136.16450989368275,
10,"Transformation, to dump site | ('natural resource', 'land') | natural resource | square meter | biosphere3 | 90a5a447-af6f-421a-8201-011f07ad1150","Transformation, to dump site","('natural resource', 'land')",natural resource,dimensionless,biosphere3,90a5a447-af6f-421a-8201-011f07ad1150,336.36860154662105,1.4220853288298365,1708.5011141468804,,6.108097259360999
11,"Occupation, traffic area, road network | ('natural resource', 'land') | natural resource | square meter-year | biosphere3 | 26efe47c-92a5-4dea-b4d0-eac13e418a58","Occupation, traffic area, road network","('natural resource', 'land')",natural resource,dimensionless,biosphere3,26efe47c-92a5-4dea-b4d0-eac13e418a58,978.6264795599888,4.164824242333111,1531.7904985261828,279.9214834754973,1.8261717864588105
12,"Occupation, mineral extraction site | ('natural resource', 'land') | natural resource | square meter-year | biosphere3 | 379ba5c9-5c3a-43d0-8e2d-605ad9c39e46","Occupation, mineral extraction site","('natural resource', 'land')",natural resource,dimensionless,biosphere3,379ba5c9-5c3a-43d0-8e2d-605ad9c39e46,306.74386387525766,1.3546050468172806,,,
13,"Transformation, from annual crop | ('natural resource', 'land') | natural resource | square meter | biosphere3 | f05cca02-ec18-4acc-9939-59658ff9a554","Transformation, from annual crop","('natural resource', 'land')",natural resource,dimensionless,biosphere3,f05cca02-ec18-4acc-9939-59658ff9a554,,-1.381773851240462,,-102.88941835199105,
14,"Transformation, to annual crop | ('natural resource', 'land') | natural resource | square meter | biosphere3 | c3f83a91-4888-41a4-add9-fd01678a1e5f","Transformation, to annual crop","('natural resource', 'land')",natural resource,dimensionless,biosphere3,c3f83a91-4888-41a4-add9-fd01678a1e5f,,1.287375165123763,,100.34065392102615,
15,"Occupation, traffic area, rail/road embankment | ('natural resource', 'land') | natural resource | square meter-year | biosphere3 | 956c5f83-65c8-4607-9749-147cfb9c8f70","Occupation, traffic area, rail/road embankment","('natural resource', 'land')",natural resource,dimensionless,biosphere3,956c5f83-65c8-4607-9749-147cfb9c8f70,,1.2129579316676862,,75.65394808141312,
