,index,name,categories,type,unit,database,code,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | ecoinvent 3;9 ?",cast iron | market for cast iron | GLO | kilogram | ecoinvent 3;9 ?,"aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | ecoinvent 3;9 ?","polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | ecoinvent 3;9 ?",zinc | market for zinc | GLO | kilogram | ecoinvent 3;9 ?
0,Score,,,,,,,7.826104876205319,0.03909118685756236,33.13639224122804,3.585741954618437,0.029032829182924744
1,Rest (+),,,,,,,0.953290842946295,0.004895997886133617,4.033788719055352,0.4425544710106615,0.0036341034105770685
2,Rest (-),,,,,,,-1.4958839379610851e-05,-7.660339566212931e-08,-1.790640546006498e-05,-6.5099914467154e-06,-4.011230195927528e-08
3,"Nitrogen oxides | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 77357947-ccc5-438e-9996-95e65e1e1bce",Nitrogen oxides,"('air', 'non-urban air or from high stacks')",emission,kg NMVOC-Eq,biosphere3,77357947-ccc5-438e-9996-95e65e1e1bce,1.6338671795310675,0.008733765668020445,18.089128021845536,0.566394296948644,0.006538678195259741
4,"Nitrogen oxides | ('air', 'urban air close to ground') | emission | kilogram | biosphere3 | d068f3e2-b033-417b-a359-ca4f25da9731",Nitrogen oxides,"('air', 'urban air close to ground')",emission,kg NMVOC-Eq,biosphere3,d068f3e2-b033-417b-a359-ca4f25da9731,0.41189667364336086,,3.122794172099136,1.0375450212982613,
5,"Nitrogen oxides | ('air',) | emission | kilogram | biosphere3 | c1b91234-6f24-417b-8309-46111d09c457",Nitrogen oxides,"('air',)",emission,kg NMVOC-Eq,biosphere3,c1b91234-6f24-417b-8309-46111d09c457,1.7542458396443532,0.008985257483837036,3.2416358699819803,0.27644428217179084,0.016248810279629874
6,"NMVOC, non-methane volatile organic compounds | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 33b38ccb-593b-4b11-b965-10d747ba3556","NMVOC, non-methane volatile organic compounds","('air', 'non-urban air or from high stacks')",emission,kg NMVOC-Eq,biosphere3,33b38ccb-593b-4b11-b965-10d747ba3556,2.4425182834107266,0.012926109485712807,2.618645253261387,0.1945907318009688,0.002611277409760021
7,"Carbon monoxide, fossil | ('air',) | emission | kilogram | biosphere3 | ba2f3f82-c93a-47a5-822a-37ec97495275","Carbon monoxide, fossil","('air',)",emission,kg NMVOC-Eq,biosphere3,ba2f3f82-c93a-47a5-822a-37ec97495275,0.6303010158688956,0.0035501329372541143,2.0304181113900905,,
8,"NMVOC, non-methane volatile organic compounds | ('air', 'urban air close to ground') | emission | kilogram | biosphere3 | 175baa64-d985-4c5e-84ef-67cc3a1cf952","NMVOC, non-methane volatile organic compounds","('air', 'urban air close to ground')",emission,kg NMVOC-Eq,biosphere3,175baa64-d985-4c5e-84ef-67cc3a1cf952,,,,0.8878188390680658,
9,"Ethylene | ('air',) | emission | kilogram | biosphere3 | 90f722bf-cb9b-571a-88fc-34286632bdc4",Ethylene,"('air',)",emission,kg NMVOC-Eq,biosphere3,90f722bf-cb9b-571a-88fc-34286632bdc4,,,,0.18040082231149043,
