,index,name,categories,type,unit,database,code,cast iron | market for cast iron | GLO | kilogram | test,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | test","aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | test","polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | test",zinc | market for zinc | GLO | kilogram | test,copper-rich materials | market for copper-rich materials | GLO | kilogram | test,lithium | market for lithium | GLO | kilogram | test,manganese | market for manganese | GLO | kilogram | test,nickel-rich materials | market for nickel-rich materials | GLO | kilogram | test,"phosphoric acid, industrial grade, without water, in 85% solution state | market for phosphoric acid, industrial grade, without water, in 85% solution state | GLO | kilogram | test"
0,Score,,,,,,,4.909929437191292,1673.4247184314659,6650.970566069041,372.4993730485012,121.09995337996395,16618.83826684722,1043.75149140825,28.12088890357683,3067.91669347363,126.89904405332685
1,Rest (+),,,,,,,1.183131129176978,455.99812394034893,1073.9234599025485,57.54583776521878,14.93761904557229,2452.7291629301326,128.88506922338559,4.302838698818846,281.36600244997226,21.163954790827674
2,Rest (-),,,,,,,-2.438774755971832e-07,-8.01271222717414e-05,-0.0029406746479774546,-8.748530176629163e-06,-4.989916422775848e-07,-1.8858214613941945e-05,-1.3904067129488603e-05,-5.355546973747795e-06,-6.29806012760298e-05,-8.075422398218284e-06
3,"Zinc II | ('water', 'ground-, long-term') | emission | kilogram | biosphere3 | bdce3a7c-e008-4391-be26-285f71a02453",Zinc II,"('water', 'ground-, long-term')",emission,"kg 1,4-DCB-Eq",biosphere3,bdce3a7c-e008-4391-be26-285f71a02453,2.0657591334635903,746.0275660314577,2249.355843615699,205.9358293297243,88.9226565058414,6900.287010429972,536.1766138240295,9.63702127179719,2618.7958343735086,52.929267703066856
4,"Arsenic ion | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 7348af7c-e102-4a03-a0df-efce16469eed",Arsenic ion,"('air', 'non-urban air or from high stacks')",emission,"kg 1,4-DCB-Eq",biosphere3,7348af7c-e102-4a03-a0df-efce16469eed,,,,22.388244222666344,,3262.2220562713237,87.54207112200538,,,11.149446930399533
5,"Arsenic ion | ('water', 'surface water') | emission | kilogram | biosphere3 | 8c8ffaa5-84ed-4668-ba7d-80fd0f47013f",Arsenic ion,"('water', 'surface water')",emission,"kg 1,4-DCB-Eq",biosphere3,8c8ffaa5-84ed-4668-ba7d-80fd0f47013f,0.4717562057650555,137.69122854720882,2745.5781060713903,48.92622190421314,7.839863829232725,2273.104561649812,155.34758734596235,4.967891069057959,,34.71861957933206
6,"Lead II | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 2718482b-8399-442e-b89a-52fbcc22d2e6",Lead II,"('air', 'non-urban air or from high stacks')",emission,"kg 1,4-DCB-Eq",biosphere3,2718482b-8399-442e-b89a-52fbcc22d2e6,,,,,,1730.495494424195,53.49068386055719,,,6.937763125123115
7,"Arsenic ion | ('water', 'ground-, long-term') | emission | kilogram | biosphere3 | e60edb16-3c74-415b-9aff-a22a6f49fecb",Arsenic ion,"('water', 'ground-, long-term')",emission,"kg 1,4-DCB-Eq",biosphere3,e60edb16-3c74-415b-9aff-a22a6f49fecb,0.6091397630838521,183.3634877697572,582.1160971540515,37.703248575208775,9.39981449830918,,82.30947993637739,2.8870329758294906,167.75491963075046,
8,"Vanadium V | ('water', 'ground-, long-term') | emission | kilogram | biosphere3 | 41dbbe1f-06e1-4a34-8497-5986be8f9e51",Vanadium V,"('water', 'ground-, long-term')",emission,"kg 1,4-DCB-Eq",biosphere3,41dbbe1f-06e1-4a34-8497-5986be8f9e51,,150.3443922698159,,,,,,3.712728375577831,,
9,"Chromium VI | ('water', 'ground-, long-term') | emission | kilogram | biosphere3 | ef475b50-9cd0-4e7c-9c59-07868fe16e91",Chromium VI,"('water', 'ground-, long-term')",emission,"kg 1,4-DCB-Eq",biosphere3,ef475b50-9cd0-4e7c-9c59-07868fe16e91,,,,,,,,2.613381868042491,,
10,"Zinc II | ('air',) | emission | kilogram | biosphere3 | 5ce378a0-b48d-471c-977d-79681521efde",Zinc II,"('air',)",emission,"kg 1,4-DCB-Eq",biosphere3,5ce378a0-b48d-471c-977d-79681521efde,0.5801434495792919,,,,,,,,,
