,index,name,categories,type,unit,database,code,cast iron | market for cast iron | GLO | kilogram | test,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | test","aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | test","polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | test",zinc | market for zinc | GLO | kilogram | test,copper-rich materials | market for copper-rich materials | GLO | kilogram | test,lithium | market for lithium | GLO | kilogram | test,manganese | market for manganese | GLO | kilogram | test,nickel-rich materials | market for nickel-rich materials | GLO | kilogram | test,"phosphoric acid, industrial grade, without water, in 85% solution state | market for phosphoric acid, industrial grade, without water, in 85% solution state | GLO | kilogram | test"
0,Score,,,,,,,0.0860984419770932,31.008106005695154,74.77279736903374,6.111501776960278,0.16362387200753822,43.2400233636202,16.991108404271206,0.8015597939125361,11.338453387528519,5.444991458024869
1,Rest (+),,,,,,,0.004913381326667146,3.0485635661250754,9.453627675668216,0.4833089107229265,0.0273897842153544,3.8379148798535923,1.3976875693392543,0.09435914564592696,0.5791632487908185,0.8096223630677608
2,Rest (-),,,,,,,-0.00024000400406682453,-0.1499633765758989,-0.2818342111583548,-0.01114752311683925,-0.00038757165519562466,-0.05836631951323336,-0.10867417130373179,-0.005867220232574229,-0.009474095887367046,-0.0048544577718411955
3,"Occupation, dump site | ('natural resource', 'land') | natural resource | square meter-year | biosphere3 | 1eaa9ea4-40b8-414a-b198-5626400372e1","Occupation, dump site","('natural resource', 'land')",natural resource,m2*a crop-Eq,biosphere3,1eaa9ea4-40b8-414a-b198-5626400372e1,0.020587389599449203,7.039038922337336,25.802166844016753,1.0699730652157442,0.10156690738844701,35.43516080482495,4.952439353760463,0.38816690291283923,1.4061027139082958,0.31123549238756787
4,"Occupation, forest, intensive | ('natural resource', 'land') | natural resource | square meter-year | biosphere3 | aca1714f-0040-4a65-a73a-0e38aa9f50f4","Occupation, forest, intensive","('natural resource', 'land')",natural resource,m2*a crop-Eq,biosphere3,aca1714f-0040-4a65-a73a-0e38aa9f50f4,0.02756931117861468,12.076759063533814,26.38349203450657,2.3968665774447335,0.035054752058932465,4.025313998454884,7.132824473731485,0.17732741290436554,1.0783936586788765,
5,"Occupation, construction site | ('natural resource', 'land') | natural resource | square meter-year | biosphere3 | 4b6b9b76-3199-4bd0-b11d-f8f2efbeac4e","Occupation, construction site","('natural resource', 'land')",natural resource,m2*a crop-Eq,biosphere3,4b6b9b76-3199-4bd0-b11d-f8f2efbeac4e,,,,,,,,,,4.328988060341381
6,"Occupation, industrial area | ('natural resource', 'land') | natural resource | square meter-year | biosphere3 | fe9c3a98-a6d2-452d-a9a4-a13e64f1b95b","Occupation, industrial area","('natural resource', 'land')",natural resource,m2*a crop-Eq,biosphere3,fe9c3a98-a6d2-452d-a9a4-a13e64f1b95b,0.00938190473593063,3.0924197910356974,8.530310826860948,0.5467599317076784,,,0.8810334137383047,0.04315091603511714,5.500856883331247,
7,"Occupation, traffic area, road network | ('natural resource', 'land') | natural resource | square meter-year | biosphere3 | 26efe47c-92a5-4dea-b4d0-eac13e418a58","Occupation, traffic area, road network","('natural resource', 'land')",natural resource,m2*a crop-Eq,biosphere3,26efe47c-92a5-4dea-b4d0-eac13e418a58,0.012833993380722088,4.0503928683379815,4.885034199139587,0.9679876492215717,,,1.2510288316897906,0.1044226366468615,0.7378124401517236,
8,"Occupation, mineral extraction site | ('natural resource', 'land') | natural resource | square meter-year | biosphere3 | 379ba5c9-5c3a-43d0-8e2d-605ad9c39e46","Occupation, mineral extraction site","('natural resource', 'land')",natural resource,m2*a crop-Eq,biosphere3,379ba5c9-5c3a-43d0-8e2d-605ad9c39e46,0.006085602379452956,1.8508951709011445,,0.31010773519823,,,1.4847689333156366,,2.0455985385549265,
9,"Occupation, traffic area, rail/road embankment | ('natural resource', 'land') | natural resource | square meter-year | biosphere3 | 956c5f83-65c8-4607-9749-147cfb9c8f70","Occupation, traffic area, rail/road embankment","('natural resource', 'land')",natural resource,m2*a crop-Eq,biosphere3,956c5f83-65c8-4607-9749-147cfb9c8f70,0.00496686338032332,,,0.34764543056623415,,,,,,
