,index,name,categories,type,unit,database,code,cast iron | market for cast iron | GLO | kilogram | test,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | test","aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | test","polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | test",zinc | market for zinc | GLO | kilogram | test,copper-rich materials | market for copper-rich materials | GLO | kilogram | test,lithium | market for lithium | GLO | kilogram | test,manganese | market for manganese | GLO | kilogram | test,nickel-rich materials | market for nickel-rich materials | GLO | kilogram | test,"phosphoric acid, industrial grade, without water, in 85% solution state | market for phosphoric acid, industrial grade, without water, in 85% solution state | GLO | kilogram | test"
0,Score,,,,,,,1.8544735187517702,454.81575491596533,110.8757492948897,5.996723320354348,0.3523775164892577,112.7904486845883,1427.8704436971743,1.1639142985970565,140.34873036359969,1.3135619197874235
1,Rest (+),,,,,,,0.07444809223675009,10.171885646717897,7.194173875939242,1.3644260784675213,0.01629383321231298,19.500286445615757,38.84867909925538,0.032372978720508705,19.92040317625677,0.1726697283047438
3,"Spodumene | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | 5324b57a-96f1-4dc3-9dc5-544881960f4f",Spodumene,"('natural resource', 'in ground')",natural resource,kg Cu-Eq,biosphere3,5324b57a-96f1-4dc3-9dc5-544881960f4f,,,,,,,1389.021764597919,,,
4,"Cerium | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | 4057f8b4-f20a-59c9-9bb7-fdeaf5ad106d",Cerium,"('natural resource', 'in ground')",natural resource,kg Cu-Eq,biosphere3,4057f8b4-f20a-59c9-9bb7-fdeaf5ad106d,1.6243661747020979,370.3979063238768,28.01134621685725,4.6322972418868265,0.023612463310591483,,,0.10456033786008537,,0.29260466449881906
5,"Aluminium | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | a45cd247-3532-4e27-bddc-b519fdb5e08f",Aluminium,"('natural resource', 'in ground')",natural resource,kg Cu-Eq,biosphere3,a45cd247-3532-4e27-bddc-b519fdb5e08f,,,65.57703821334913,,,,,,,
6,"Nickel | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | 974213ef-1ba0-40e5-bc7b-52ef099e9e09",Nickel,"('natural resource', 'in ground')",natural resource,kg Cu-Eq,biosphere3,974213ef-1ba0-40e5-bc7b-52ef099e9e09,,31.095874181577138,,,,16.879591995006415,,,99.82821322038549,
7,"Iron | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | 8ce3ff02-7a1e-48e3-881e-3248b944f28a",Iron,"('natural resource', 'in ground')",natural resource,kg Cu-Eq,biosphere3,8ce3ff02-7a1e-48e3-881e-3248b944f28a,0.15565925181292187,43.15008876379344,,,,8.97633378325672,,0.1252311466855471,,
8,"Copper | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | a9ac40a0-9bea-4c48-afa7-66aa6eb90624",Copper,"('natural resource', 'in ground')",natural resource,kg Cu-Eq,biosphere3,a9ac40a0-9bea-4c48-afa7-66aa6eb90624,,,,,0.025530351998335126,33.5033593372889,,,10.962419091639596,0.11206704231408929
9,"Molybdenum | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | e5a3dff5-72dc-5287-893c-597dd4a19566",Molybdenum,"('natural resource', 'in ground')",natural resource,kg Cu-Eq,biosphere3,e5a3dff5-72dc-5287-893c-597dd4a19566,,,,,,23.03567316596171,,,,0.07879158151803418
10,"Silicon | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | 00143719-33a7-5738-aa1b-131f97b4fef3",Silicon,"('natural resource', 'in ground')",natural resource,kg Cu-Eq,biosphere3,00143719-33a7-5738-aa1b-131f97b4fef3,,,,,,10.895203957458794,,,,
11,"Gallium | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | 0878c1c6-4c1d-4f90-a2de-a9383855d5c6",Gallium,"('natural resource', 'in ground')",natural resource,kg Cu-Eq,biosphere3,0878c1c6-4c1d-4f90-a2de-a9383855d5c6,,,10.093190988744105,,,,,,,
12,"Palladium | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | edc69c63-a776-4dbf-acbf-e0368914980a",Palladium,"('natural resource', 'in ground')",natural resource,kg Cu-Eq,biosphere3,edc69c63-a776-4dbf-acbf-e0368914980a,,,,,,,,,9.637694875317893,
13,"Manganese | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | c2586875-bb56-4b1e-84c5-5ff255a1108b",Manganese,"('natural resource', 'in ground')",natural resource,kg Cu-Eq,biosphere3,c2586875-bb56-4b1e-84c5-5ff255a1108b,,,,,,,,0.9017498353309151,,
