,index,name,categories,type,unit,database,code,cast iron | market for cast iron | GLO | kilogram | test,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | test","aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | test","polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | test",zinc | market for zinc | GLO | kilogram | test,copper-rich materials | market for copper-rich materials | GLO | kilogram | test,lithium | market for lithium | GLO | kilogram | test,manganese | market for manganese | GLO | kilogram | test,nickel-rich materials | market for nickel-rich materials | GLO | kilogram | test,"phosphoric acid, industrial grade, without water, in 85% solution state | market for phosphoric acid, industrial grade, without water, in 85% solution state | GLO | kilogram | test"
0,Score,,,,,,,29.865846369507818,9751.173785534711,13118.149187443592,1725.8324318076754,143.47914504289795,146040.1112454138,4874.375364235468,52.2351432876353,1675.7568963117862,603.8969250688019
1,Rest (+),,,,,,,2.9479373129093993,1735.2702873457692,3789.870674702399,273.66786513454554,19.687439863018994,21695.103630993515,1220.6045755265377,15.983508077876849,224.15133564246707,94.72635881187443
2,Rest (-),,,,,,,-3.4819002263949195e-25,-1.144002755099581e-22,-4.1985934697478015e-21,-1.24899819031734e-23,-7.124391389674089e-25,-2.692467840865701e-23,-1.985101050172033e-23,-7.646425474429394e-24,-8.992106909793599e-23,-3.5721604366462065e-23
3,"Copper ion | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | e336eee7-148a-4d1c-8027-780cbfafa12b",Copper ion,"('air', 'non-urban air or from high stacks')",emission,"kg 1,4-DCB-Eq",biosphere3,e336eee7-148a-4d1c-8027-780cbfafa12b,2.0112617651060387,5209.787191411163,7455.673345126223,772.6424976579174,18.855801912288943,112074.52959713979,2944.9886957218705,13.129680721962872,301.6317700856511,383.43022973732667
4,"Nickel II | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | e8fc62ba-678e-4706-97d2-b79d83e227d5",Nickel II,"('air', 'non-urban air or from high stacks')",emission,"kg 1,4-DCB-Eq",biosphere3,e8fc62ba-678e-4706-97d2-b79d83e227d5,,,1123.3108091022627,90.50485257906651,,12270.478017280479,379.6144067740188,,,43.83719054163417
5,"Zinc II | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | ada3ecfe-8244-4389-bcce-e83ca4f66e09",Zinc II,"('air', 'non-urban air or from high stacks')",emission,"kg 1,4-DCB-Eq",biosphere3,ada3ecfe-8244-4389-bcce-e83ca4f66e09,,1245.5179028987018,,,,,,,,
6,"Copper ion | ('air',) | emission | kilogram | biosphere3 | ec8144d6-d123-43b1-9c17-a295422a0498",Copper ion,"('air',)",emission,"kg 1,4-DCB-Eq",biosphere3,ec8144d6-d123-43b1-9c17-a295422a0498,4.022193074978263,1037.9635817986518,749.2943585127091,281.9859570406385,88.922769519505,,329.1676862130417,14.177464449306472,733.4110701323555,42.05096845297363
7,"Chromium III | ('air',) | emission | kilogram | biosphere3 | e142b577-e934-4085-9a07-3983d4d92afb",Chromium III,"('air',)",emission,"kg 1,4-DCB-Eq",biosphere3,e142b577-e934-4085-9a07-3983d4d92afb,,,,,,,,,290.97170992572177,
8,"Antimony ion | ('air',) | emission | kilogram | biosphere3 | 77927dac-dea3-429d-a434-d5a71d92c4f7",Antimony ion,"('air',)",emission,"kg 1,4-DCB-Eq",biosphere3,77927dac-dea3-429d-a434-d5a71d92c4f7,2.015513875730129,522.6348220804255,,183.32429114881904,,,,8.944490038489104,125.59101052559046,
9,"Copper ion | ('air', 'urban air close to ground') | emission | kilogram | biosphere3 | 88cde01c-df69-40bb-9b14-6eac71bea5b8",Copper ion,"('air', 'urban air close to ground')",emission,"kg 1,4-DCB-Eq",biosphere3,88cde01c-df69-40bb-9b14-6eac71bea5b8,,,,123.70696824668835,,,,,,
10,"Zinc II | ('air', 'urban air close to ground') | emission | kilogram | biosphere3 | 748f22a9-eba4-4726-bef5-92c7442ce189",Zinc II,"('air', 'urban air close to ground')",emission,"kg 1,4-DCB-Eq",biosphere3,748f22a9-eba4-4726-bef5-92c7442ce189,,,,,,,,,,39.852177524993124
11,"Zinc II | ('air',) | emission | kilogram | biosphere3 | 5ce378a0-b48d-471c-977d-79681521efde",Zinc II,"('air',)",emission,"kg 1,4-DCB-Eq",biosphere3,5ce378a0-b48d-471c-977d-79681521efde,9.563576865791964,,,,16.013133748085018,,,,,
12,"Mercury II | ('air',) | emission | kilogram | biosphere3 | 71234253-b3a7-4dfe-b166-a484ad15bee7",Mercury II,"('air',)",emission,"kg 1,4-DCB-Eq",biosphere3,71234253-b3a7-4dfe-b166-a484ad15bee7,9.30536347499203,,,,,,,,,
