,index,name,categories,type,unit,database,code,cast iron | market for cast iron | GLO | kilogram | test,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | test","aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | test","polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | test",zinc | market for zinc | GLO | kilogram | test,copper-rich materials | market for copper-rich materials | GLO | kilogram | test,lithium | market for lithium | GLO | kilogram | test,manganese | market for manganese | GLO | kilogram | test,nickel-rich materials | market for nickel-rich materials | GLO | kilogram | test,"phosphoric acid, industrial grade, without water, in 85% solution state | market for phosphoric acid, industrial grade, without water, in 85% solution state | GLO | kilogram | test"
0,Score,,,,,,,5.728251010056512,1741.5931366592922,9690.617491442319,438.51192017102045,141.2832789432912,24771.475907187363,1679.6001011167248,44.27544210350396,4889.492230223598,203.03847048532293
1,Rest (+),,,,,,,1.3803196507064754,474.57360599310937,1564.731246608535,67.74383433120704,17.427222219834334,3655.954790027932,207.4012608192411,6.774682206650951,448.42706640464166,33.86232766532427
2,Rest (-),,,,,,,-2.8452372153004744e-07,-8.339117061658237e-05,-0.004284630776403209,-1.0298902612993827e-05,-5.821569159905152e-07,-2.810941423587573e-05,-2.2374360898027645e-05,-8.432137788453976e-06,-0.0001003753332836725,-1.292067583714925e-05
3,"Zinc II | ('water', 'ground-, long-term') | emission | kilogram | biosphere3 | bdce3a7c-e008-4391-be26-285f71a02453",Zinc II,"('water', 'ground-, long-term')",emission,"kg 1,4-DCB-Eq",biosphere3,bdce3a7c-e008-4391-be26-285f71a02453,2.4100523223741908,776.4176508500849,3277.3633360857684,242.4307864261312,103.7430992568149,10285.33346837675,862.8129417857947,15.173182427936004,4173.70586103278,84.68682832490697
4,"Arsenic ion | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 7348af7c-e102-4a03-a0df-efce16469eed",Arsenic ion,"('air', 'non-urban air or from high stacks')",emission,"kg 1,4-DCB-Eq",biosphere3,7348af7c-e102-4a03-a0df-efce16469eed,,,,26.35578117351862,,4862.557404630839,140.87229835725003,,,17.83911508863925
5,"Arsenic ion | ('water', 'surface water') | emission | kilogram | biosphere3 | 8c8ffaa5-84ed-4668-ba7d-80fd0f47013f",Arsenic ion,"('water', 'surface water')",emission,"kg 1,4-DCB-Eq",biosphere3,8c8ffaa5-84ed-4668-ba7d-80fd0f47013f,0.5503822400592315,143.30020106358666,4000.370615764396,57.59669160875726,9.14650780077151,3388.2124598176433,249.98462331534174,7.821785938516786,,55.5497913269313
6,"Lead II | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 2718482b-8399-442e-b89a-52fbcc22d2e6",Lead II,"('air', 'non-urban air or from high stacks')",emission,"kg 1,4-DCB-Eq",biosphere3,2718482b-8399-442e-b89a-52fbcc22d2e6,,,,,,2579.4178124436107,86.07696253422998,,,11.100421000196985
7,"Arsenic ion | ('water', 'ground-, long-term') | emission | kilogram | biosphere3 | e60edb16-3c74-415b-9aff-a22a6f49fecb",Arsenic ion,"('water', 'ground-, long-term')",emission,"kg 1,4-DCB-Eq",biosphere3,e60edb16-3c74-415b-9aff-a22a6f49fecb,0.7106630569311614,190.83295967627828,848.1565776143945,44.38483693030905,10.966450248027373,,132.45203667922797,4.545541281093242,267.35940316150845,
8,"Vanadium V | ('water', 'ground-, long-term') | emission | kilogram | biosphere3 | 41dbbe1f-06e1-4a34-8497-5986be8f9e51",Vanadium V,"('water', 'ground-, long-term')",emission,"kg 1,4-DCB-Eq",biosphere3,41dbbe1f-06e1-4a34-8497-5986be8f9e51,,156.46880246740375,,,,,,5.8455723360161596,,
9,"Chromium VI | ('water', 'ground-, long-term') | emission | kilogram | biosphere3 | ef475b50-9cd0-4e7c-9c59-07868fe16e91",Chromium VI,"('water', 'ground-, long-term')",emission,"kg 1,4-DCB-Eq",biosphere3,ef475b50-9cd0-4e7c-9c59-07868fe16e91,,,,,,,,4.114686345428603,,
10,"Zinc II | ('air',) | emission | kilogram | biosphere3 | 5ce378a0-b48d-471c-977d-79681521efde",Zinc II,"('air',)",emission,"kg 1,4-DCB-Eq",biosphere3,5ce378a0-b48d-471c-977d-79681521efde,0.6768340245091742,,,,,,,,,
