,index,name,categories,type,unit,database,code,cast iron | market for cast iron | GLO | kilogram | test,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | test","aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | test","polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | test",zinc | market for zinc | GLO | kilogram | test,copper-rich materials | market for copper-rich materials | GLO | kilogram | test,lithium | market for lithium | GLO | kilogram | test,manganese | market for manganese | GLO | kilogram | test,nickel-rich materials | market for nickel-rich materials | GLO | kilogram | test,"phosphoric acid, industrial grade, without water, in 85% solution state | market for phosphoric acid, industrial grade, without water, in 85% solution state | GLO | kilogram | test"
0,Score,,,,,,,0.10044818230660879,32.271248300276696,108.94569008695694,7.194552724776023,0.19089451734212776,64.4521102967169,27.342013524114584,1.2620303138197375,18.07066008637358,8.711986332839787
1,Rest (+),,,,,,,0.005732278214445011,3.172749466979056,13.774153531633985,0.5689585911042032,0.03195474825124678,5.720665575630825,2.249152410430984,0.1485654633574165,0.9230414277603636,1.295395780908418
2,Rest (-),,,,,,,-0.00028000467141129547,-0.15607226576624436,-0.4106389449791543,-0.013123033542608228,-0.0004521669310615619,-0.08699885361406481,-0.17487797681060288,-0.00923775100447857,-0.015099340320491232,-0.007767132434945909
3,"Occupation, dump site | ('natural resource', 'land') | natural resource | square meter-year | biosphere3 | 1eaa9ea4-40b8-414a-b198-5626400372e1","Occupation, dump site","('natural resource', 'land')",natural resource,m2*a crop-Eq,biosphere3,1eaa9ea4-40b8-414a-b198-5626400372e1,0.024018621199357423,7.325780323904298,37.59435211025502,1.259588545127395,0.11849472528652137,52.81844723738059,7.969442638235229,0.6111564003308532,2.2409762002913465,0.49797678782010857
4,"Occupation, forest, intensive | ('natural resource', 'land') | natural resource | square meter-year | biosphere3 | aca1714f-0040-4a65-a73a-0e38aa9f50f4","Occupation, forest, intensive","('natural resource', 'land')",natural resource,m2*a crop-Eq,biosphere3,aca1714f-0040-4a65-a73a-0e38aa9f50f4,0.03216419637505049,12.568716397265153,38.4413563186207,2.8216277430678494,0.040897210735421206,5.999996337319544,11.478108348533425,0.27919635223240546,1.71868989351946,
5,"Occupation, construction site | ('natural resource', 'land') | natural resource | square meter-year | biosphere3 | 4b6b9b76-3199-4bd0-b11d-f8f2efbeac4e","Occupation, construction site","('natural resource', 'land')",natural resource,m2*a crop-Eq,biosphere3,4b6b9b76-3199-4bd0-b11d-f8f2efbeac4e,,,,,,,,,,6.926380896546207
6,"Occupation, industrial area | ('natural resource', 'land') | natural resource | square meter-year | biosphere3 | fe9c3a98-a6d2-452d-a9a4-a13e64f1b95b","Occupation, industrial area","('natural resource', 'land')",natural resource,m2*a crop-Eq,biosphere3,fe9c3a98-a6d2-452d-a9a4-a13e64f1b95b,0.01094555552525241,3.2183922135351817,12.428859590499707,0.6436540968204316,,,1.417754918659341,0.06793974014039719,8.766990657809178,
7,"Occupation, traffic area, road network | ('natural resource', 'land') | natural resource | square meter-year | biosphere3 | 26efe47c-92a5-4dea-b4d0-eac13e418a58","Occupation, traffic area, road network","('natural resource', 'land')",natural resource,m2*a crop-Eq,biosphere3,26efe47c-92a5-4dea-b4d0-eac13e418a58,0.014972992277509117,4.215389161266337,7.117607480926659,1.139529764273496,,,2.013149844098513,0.16441010876314366,1.1758885764918094,
8,"Occupation, mineral extraction site | ('natural resource', 'land') | natural resource | square meter-year | biosphere3 | 379ba5c9-5c3a-43d0-8e2d-605ad9c39e46","Occupation, mineral extraction site","('natural resource', 'land')",natural resource,m2*a crop-Eq,biosphere3,379ba5c9-5c3a-43d0-8e2d-605ad9c39e46,0.007099869442695119,1.9262930030929133,,0.36506353637259975,,,2.389283340967691,,3.260172670821912,
9,"Occupation, traffic area, rail/road embankment | ('natural resource', 'land') | natural resource | square meter-year | biosphere3 | 956c5f83-65c8-4607-9749-147cfb9c8f70","Occupation, traffic area, rail/road embankment","('natural resource', 'land')",natural resource,m2*a crop-Eq,biosphere3,956c5f83-65c8-4607-9749-147cfb9c8f70,0.005794673943710545,,,0.40925348155265534,,,,,,
