,index,name,categories,type,unit,database,code,cast iron | market for cast iron | GLO | kilogram | test,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | test","aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | test","polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | test",zinc | market for zinc | GLO | kilogram | test,copper-rich materials | market for copper-rich materials | GLO | kilogram | test,lithium | market for lithium | GLO | kilogram | test,manganese | market for manganese | GLO | kilogram | test,nickel-rich materials | market for nickel-rich materials | GLO | kilogram | test,"phosphoric acid, industrial grade, without water, in 85% solution state | market for phosphoric acid, industrial grade, without water, in 85% solution state | GLO | kilogram | test"
0,Score,,,,,,,2.163552438543733,473.34307213330425,161.5485236057618,7.05943378218929,0.4111071025708003,168.12161219023542,2297.722553075912,1.8325459169400453,223.68078901698703,2.101699071659877
1,Rest (+),,,,,,,0.08685610760954177,10.586246297241303,10.48207724062425,1.6062231050313862,0.019009472081031764,29.066464701955596,62.51511579190537,0.050970221815269,31.748142562159188,0.27627156528759045
3,"Spodumene | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | 5324b57a-96f1-4dc3-9dc5-544881960f4f",Spodumene,"('natural resource', 'in ground')",natural resource,kg Cu-Eq,biosphere3,5324b57a-96f1-4dc3-9dc5-544881960f4f,,,,,,,2235.207437284007,,,
4,"Cerium | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | 4057f8b4-f20a-59c9-9bb7-fdeaf5ad106d",Cerium,"('natural resource', 'in ground')",natural resource,kg Cu-Eq,biosphere3,4057f8b4-f20a-59c9-9bb7-fdeaf5ad106d,1.895093870485783,385.4863887102633,40.81317740191991,5.453210677157903,0.027547873862356725,,,0.16462691492864515,,0.46816746319811003
5,"Aluminium | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | a45cd247-3532-4e27-bddc-b519fdb5e08f",Aluminium,"('natural resource', 'in ground')",natural resource,kg Cu-Eq,biosphere3,a45cd247-3532-4e27-bddc-b519fdb5e08f,,,95.5472569355926,,,,,,,
6,"Nickel | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | 974213ef-1ba0-40e5-bc7b-52ef099e9e09",Nickel,"('natural resource', 'in ground')",natural resource,kg Cu-Eq,biosphere3,974213ef-1ba0-40e5-bc7b-52ef099e9e09,,32.36259178949948,,,,25.160146558594462,,,159.10121481998937,
7,"Copper | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | a9ac40a0-9bea-4c48-afa7-66aa6eb90624",Copper,"('natural resource', 'in ground')",natural resource,kg Cu-Eq,biosphere3,a9ac40a0-9bea-4c48-afa7-66aa6eb90624,,,,,0.029785410664724295,49.93896957822307,,,17.471355427300605,0.17930726770254288
8,"Molybdenum | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | e5a3dff5-72dc-5287-893c-597dd4a19566",Molybdenum,"('natural resource', 'in ground')",natural resource,kg Cu-Eq,biosphere3,e5a3dff5-72dc-5287-893c-597dd4a19566,,,,,,34.33619207756556,,,,0.1260665304288547
9,"Iron | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | 8ce3ff02-7a1e-48e3-881e-3248b944f28a",Iron,"('natural resource', 'in ground')",natural resource,kg Cu-Eq,biosphere3,8ce3ff02-7a1e-48e3-881e-3248b944f28a,0.18160246044840883,44.90784533630017,,,,13.379818280703415,,0.19717244371766987,,
10,"Silicon | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | 00143719-33a7-5738-aa1b-131f97b4fef3",Silicon,"('natural resource', 'in ground')",natural resource,kg Cu-Eq,biosphere3,00143719-33a7-5738-aa1b-131f97b4fef3,,,,,,16.240020993193294,,,,
11,"Palladium | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | edc69c63-a776-4dbf-acbf-e0368914980a",Palladium,"('natural resource', 'in ground')",natural resource,kg Cu-Eq,biosphere3,edc69c63-a776-4dbf-acbf-e0368914980a,,,,,,,,,15.36007620753789,
12,"Gallium | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | 0878c1c6-4c1d-4f90-a2de-a9383855d5c6",Gallium,"('natural resource', 'in ground')",natural resource,kg Cu-Eq,biosphere3,0878c1c6-4c1d-4f90-a2de-a9383855d5c6,,,14.706012027625057,,,,,,,
13,"Manganese | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | c2586875-bb56-4b1e-84c5-5ff255a1108b",Manganese,"('natural resource', 'in ground')",natural resource,kg Cu-Eq,biosphere3,c2586875-bb56-4b1e-84c5-5ff255a1108b,,,,,,,,1.4197763364784615,,
