,index,name,categories,type,unit,database,code,cast iron | market for cast iron | GLO | kilogram | test,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | test","aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | test","polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | test",zinc | market for zinc | GLO | kilogram | test,copper-rich materials | market for copper-rich materials | GLO | kilogram | test,lithium | market for lithium | GLO | kilogram | test,manganese | market for manganese | GLO | kilogram | test,nickel-rich materials | market for nickel-rich materials | GLO | kilogram | test,"phosphoric acid, industrial grade, without water, in 85% solution state | market for phosphoric acid, industrial grade, without water, in 85% solution state | GLO | kilogram | test"
0,Score,,,,,,,34.84348743109248,10148.396370753599,19113.4458810761,2031.676153900176,167.39233588338087,217682.42996957904,7843.822425206501,82.24256602734073,2670.737553496909,966.2350801100836
1,Rest (+),,,,,,,3.439260198394294,1805.958038867082,5521.928970478337,322.165967816617,22.9686798401888,32337.984657518653,1964.1912709622447,25.165523356657175,357.2411911801828,151.5621740989992
2,Rest (-),,,,,,,-4.062216930794077e-25,-1.1906047070155957e-22,-6.117447508332749e-21,-1.4703396417659826e-23,-8.311789954619764e-25,-4.0133011212903846e-23,-3.1944154830354574e-23,-1.2039052874633514e-23,-1.433117038748355e-22,-5.715456698633927e-23
3,"Copper ion | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | e336eee7-148a-4d1c-8027-780cbfafa12b",Copper ion,"('air', 'non-urban air or from high stacks')",emission,"kg 1,4-DCB-Eq",biosphere3,e336eee7-148a-4d1c-8027-780cbfafa12b,2.346472059290378,5422.012425226858,10863.08799761578,909.5664845846376,21.998435564337075,167054.48751271778,4739.062268977722,20.672263264367082,480.72563357400696,613.4883675797229
4,"Nickel II | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | e8fc62ba-678e-4706-97d2-b79d83e227d5",Nickel II,"('air', 'non-urban air or from high stacks')",emission,"kg 1,4-DCB-Eq",biosphere3,e8fc62ba-678e-4706-97d2-b79d83e227d5,,,1636.6897533041358,106.54368721333152,,18289.9577993426,610.8737580271568,,,70.13950486661469
5,"Zinc II | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | ada3ecfe-8244-4389-bcce-e83ca4f66e09",Zinc II,"('air', 'non-urban air or from high stacks')",emission,"kg 1,4-DCB-Eq",biosphere3,ada3ecfe-8244-4389-bcce-e83ca4f66e09,,1296.2551630693451,,,,,,,,
6,"Copper ion | ('air',) | emission | kilogram | biosphere3 | ec8144d6-d123-43b1-9c17-a295422a0498",Copper ion,"('air',)",emission,"kg 1,4-DCB-Eq",biosphere3,ec8144d6-d123-43b1-9c17-a295422a0498,4.692558587474644,1080.2459353279005,1091.7391596778473,331.958151959233,103.74323110608911,,529.6951272393775,22.321965303163392,1168.8738930234413,67.28154952475784
7,"Chromium III | ('air',) | emission | kilogram | biosphere3 | e142b577-e934-4085-9a07-3983d4d92afb",Chromium III,"('air',)",emission,"kg 1,4-DCB-Eq",biosphere3,e142b577-e934-4085-9a07-3983d4d92afb,,,,,,,,,463.736162694119,
8,"Antimony ion | ('air',) | emission | kilogram | biosphere3 | 77927dac-dea3-429d-a434-d5a71d92c4f7",Antimony ion,"('air',)",emission,"kg 1,4-DCB-Eq",biosphere3,77927dac-dea3-429d-a434-d5a71d92c4f7,2.3514328550184875,543.9248082624136,,215.81214021316688,,,,14.082814103153066,200.16067302515978,
9,"Copper ion | ('air', 'urban air close to ground') | emission | kilogram | biosphere3 | 88cde01c-df69-40bb-9b14-6eac71bea5b8",Copper ion,"('air', 'urban air close to ground')",emission,"kg 1,4-DCB-Eq",biosphere3,88cde01c-df69-40bb-9b14-6eac71bea5b8,,,,145.62972211319004,,,,,,
10,"Zinc II | ('air', 'urban air close to ground') | emission | kilogram | biosphere3 | 748f22a9-eba4-4726-bef5-92c7442ce189",Zinc II,"('air', 'urban air close to ground')",emission,"kg 1,4-DCB-Eq",biosphere3,748f22a9-eba4-4726-bef5-92c7442ce189,,,,,,,,,,63.763484039988995
11,"Zinc II | ('air',) | emission | kilogram | biosphere3 | 5ce378a0-b48d-471c-977d-79681521efde",Zinc II,"('air',)",emission,"kg 1,4-DCB-Eq",biosphere3,5ce378a0-b48d-471c-977d-79681521efde,11.157506343423966,,,,18.681989372765845,,,,,
12,"Mercury II | ('air',) | emission | kilogram | biosphere3 | 71234253-b3a7-4dfe-b166-a484ad15bee7",Mercury II,"('air',)",emission,"kg 1,4-DCB-Eq",biosphere3,71234253-b3a7-4dfe-b166-a484ad15bee7,10.8562573874907,,,,,,,,,
