,index,name,categories,type,unit,database,code,cast iron | market for cast iron | GLO | kilogram | test,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | test","aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | test","polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | test",zinc | market for zinc | GLO | kilogram | test
0,Score,,,,,,,29.865846369507818,9494.901149909625,7865.389240270159,1540.1416005372294,126.39829444255304
1,Rest (+),,,,,,,2.9479373129093993,1689.6652863642776,2272.333360513385,244.22258850614503,17.343697022183406
2,Rest (-),,,,,,,-3.4819002263949195e-25,-1.1139369796698946e-22,-2.5173956652995175e-21,-1.114612309080664e-23,-6.276249557570032e-25
3,"Copper ion | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | e336eee7-148a-4d1c-8027-780cbfafa12b",Copper ion,"('air', 'non-urban air or from high stacks')",emission,"kg 1,4-DCB-Eq",biosphere3,e336eee7-148a-4d1c-8027-780cbfafa12b,2.0112617651060387,5072.867685723618,4470.277938587209,689.5100770238378,16.611063589397414
4,"Zinc II | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | ada3ecfe-8244-4389-bcce-e83ca4f66e09",Zinc II,"('air', 'non-urban air or from high stacks')",emission,"kg 1,4-DCB-Eq",biosphere3,ada3ecfe-8244-4389-bcce-e83ca4f66e09,,1212.7841866595775,,,
5,"Copper ion | ('air',) | emission | kilogram | biosphere3 | ec8144d6-d123-43b1-9c17-a295422a0498",Copper ion,"('air',)",emission,"kg 1,4-DCB-Eq",biosphere3,ec8144d6-d123-43b1-9c17-a295422a0498,4.022193074978263,1010.6846440378473,449.2624455652714,251.6456958400635,78.33672552908777
6,"Nickel II | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | e8fc62ba-678e-4706-97d2-b79d83e227d5",Nickel II,"('air', 'non-urban air or from high stacks')",emission,"kg 1,4-DCB-Eq",biosphere3,e8fc62ba-678e-4706-97d2-b79d83e227d5,,,673.5154956042911,80.76698869397711,
7,"Antimony ion | ('air',) | emission | kilogram | biosphere3 | 77927dac-dea3-429d-a434-d5a71d92c4f7",Antimony ion,"('air',)",emission,"kg 1,4-DCB-Eq",biosphere3,77927dac-dea3-429d-a434-d5a71d92c4f7,2.015513875730129,508.89934712430454,,163.59952564546512,
8,"Copper ion | ('air', 'urban air close to ground') | emission | kilogram | biosphere3 | 88cde01c-df69-40bb-9b14-6eac71bea5b8",Copper ion,"('air', 'urban air close to ground')",emission,"kg 1,4-DCB-Eq",biosphere3,88cde01c-df69-40bb-9b14-6eac71bea5b8,,,,110.39672482774093,
9,"Zinc II | ('air',) | emission | kilogram | biosphere3 | 5ce378a0-b48d-471c-977d-79681521efde",Zinc II,"('air',)",emission,"kg 1,4-DCB-Eq",biosphere3,5ce378a0-b48d-471c-977d-79681521efde,9.563576865791964,,,,14.106808301884424
10,"Mercury II | ('air',) | emission | kilogram | biosphere3 | 71234253-b3a7-4dfe-b166-a484ad15bee7",Mercury II,"('air',)",emission,"kg 1,4-DCB-Eq",biosphere3,71234253-b3a7-4dfe-b166-a484ad15bee7,9.30536347499203,,,,
