,index,name,categories,type,unit,database,code,cast iron | market for cast iron | GLO | kilogram | test,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | test","aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | test","polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | test",zinc | market for zinc | GLO | kilogram | test
0,Score,,,,,,,43.803241341944826,10648.12801022253,18590.920022456747,2255.597450432185,184.47318648372595
1,Rest (+),,,,,,,4.323641392267113,1894.887790780991,5370.969761213462,357.6735072802769,25.312422681024486
2,Rest (-),,,,,,,-5.106786998712554e-25,-1.2492329691034842e-22,-5.9502079361624966e-21,-1.6323932044337393e-23,-9.159931786723824e-25
3,"Copper ion | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | e336eee7-148a-4d1c-8027-780cbfafa12b",Copper ion,"('air', 'non-urban air or from high stacks')",emission,"kg 1,4-DCB-Eq",biosphere3,e336eee7-148a-4d1c-8027-780cbfafa12b,2.949850588822192,5689.005461317576,10566.111491206135,1009.8144035845575,24.243173887228636
4,"Zinc II | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | ada3ecfe-8244-4389-bcce-e83ca4f66e09",Zinc II,"('air', 'non-urban air or from high stacks')",emission,"kg 1,4-DCB-Eq",biosphere3,ada3ecfe-8244-4389-bcce-e83ca4f66e09,,1360.085909735639,,,
5,"Nickel II | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | e8fc62ba-678e-4706-97d2-b79d83e227d5",Nickel II,"('air', 'non-urban air or from high stacks')",emission,"kg 1,4-DCB-Eq",biosphere3,e8fc62ba-678e-4706-97d2-b79d83e227d5,,,1591.9457168828706,118.28640542770412,
6,"Copper ion | ('air',) | emission | kilogram | biosphere3 | ec8144d6-d123-43b1-9c17-a295422a0498",Copper ion,"('air',)",emission,"kg 1,4-DCB-Eq",biosphere3,ec8144d6-d123-43b1-9c17-a295422a0498,5.899216509968125,1133.4398639614717,1061.8930531542785,368.54493752463225,114.32927509650644
7,"Antimony ion | ('air',) | emission | kilogram | biosphere3 | 77927dac-dea3-429d-a434-d5a71d92c4f7",Antimony ion,"('air',)",emission,"kg 1,4-DCB-Eq",biosphere3,77927dac-dea3-429d-a434-d5a71d92c4f7,2.9560870177375245,570.7089844268509,,239.5978868495643,
8,"Copper ion | ('air', 'urban air close to ground') | emission | kilogram | biosphere3 | 88cde01c-df69-40bb-9b14-6eac71bea5b8",Copper ion,"('air', 'urban air close to ground')",emission,"kg 1,4-DCB-Eq",biosphere3,88cde01c-df69-40bb-9b14-6eac71bea5b8,,,,161.68030976545035,
9,"Zinc II | ('air',) | emission | kilogram | biosphere3 | 5ce378a0-b48d-471c-977d-79681521efde",Zinc II,"('air',)",emission,"kg 1,4-DCB-Eq",biosphere3,5ce378a0-b48d-471c-977d-79681521efde,14.02657940316156,,,,20.58831481896645
10,"Mercury II | ('air',) | emission | kilogram | biosphere3 | 71234253-b3a7-4dfe-b166-a484ad15bee7",Mercury II,"('air',)",emission,"kg 1,4-DCB-Eq",biosphere3,71234253-b3a7-4dfe-b166-a484ad15bee7,13.64786642998831,,,,
